Hand,Win_Rate_%,Tie_Rate_%,PR,Equity
AA,84.94,0.55,100.0,0.852149
KK,82.04,0.57,99.4,0.82324
QQ,79.62,0.56,98.8,0.799029
JJ,77.18,0.64,98.2,0.775041
TT,74.76,0.72,97.6,0.751225
99,71.66,0.79,97.0,0.720538
88,68.81,0.87,96.4,0.692439
AKs,66.22,1.66,95.9,0.6704969999999999
AQs,65.32,1.82,95.3,0.662334
77,65.68,1.03,94.7,0.661922
AJs,64.4,1.99,94.1,0.653985
AKo,64.46,1.7,93.5,0.653095
ATs,63.41,2.2,92.9,0.6450779999999999
AQo,63.52,1.84,92.3,0.644406
AJo,62.71,2.02,91.7,0.6372359999999999
KQs,62.38,1.95,91.1,0.633549
66,62.62,1.16,90.5,0.631957
A9s,61.47,2.55,89.9,0.627453
ATo,61.58,2.29,89.3,0.627301
KJs,61.47,2.2,88.8,0.625646
A8s,60.45,2.89,88.2,0.618961
KTs,60.54,2.39,87.6,0.6173609999999999
KQo,60.38,2.04,87.0,0.614008
A7s,59.37,3.18,86.4,0.6095929999999999
A9o,59.49,2.63,85.8,0.608054
KJo,59.33,2.24,85.2,0.604496
QJs,59.2,2.34,84.6,0.603725
55,59.56,1.41,84.0,0.602604
K9s,58.76,2.7,83.4,0.601048
A5s,58.08,3.75,82.8,0.5995630000000001
A6s,58.18,3.45,82.2,0.599037
A8o,58.36,2.98,81.7,0.598527
KTo,58.45,2.53,81.1,0.597183
QTs,58.2,2.59,80.5,0.594942
A4s,57.06,3.8,79.9,0.589622
A7o,57.2,3.32,79.3,0.588588
K8s,56.86,3.05,78.7,0.583894
A3s,56.49,3.76,78.1,0.5836669999999999
QJo,56.81,2.48,77.5,0.580514
K9o,56.42,2.82,76.9,0.578369
A5o,55.8,3.87,76.3,0.577366
A6o,55.84,3.63,75.7,0.576558
Q9s,56.19,2.86,75.1,0.576218
K7s,55.87,3.39,74.6,0.575635
JTs,56.07,2.73,74.0,0.574344
A2s,55.52,3.74,73.4,0.5739529999999999
QTo,55.98,2.69,72.8,0.573274
44,56.3,1.52,72.2,0.570613
K6s,55.0,3.62,71.6,0.568075
A4o,54.59,4.01,71.0,0.565999
K8o,54.47,3.11,70.4,0.5602010000000001
Q8s,54.4,3.2,69.8,0.5600240000000001
A3o,53.82,3.94,69.2,0.5579029999999999
K5s,53.82,3.91,68.6,0.557792
J9s,54.08,3.1,68.0,0.5563250000000001
Q9o,53.78,3.04,67.5,0.552971
JTo,53.79,2.85,66.9,0.552171
K7o,53.34,3.57,66.3,0.551187
A2o,52.97,4.0,65.7,0.549647
K4s,52.87,4.02,65.1,0.54883
Q7s,52.59,3.56,64.5,0.543683
K6o,52.39,3.86,63.9,0.543242
J8s,52.35,3.39,63.3,0.5404329999999999
K3s,52.04,3.97,62.7,0.540272
T9s,52.32,3.34,62.1,0.539908
33,52.93,1.71,61.5,0.53779
