Hand,Win_Rate_%,Tie_Rate_%,PR,Equity
Q6s,51.78,3.85,60.9,0.537046
Q8o,51.86,3.32,60.4,0.5352180000000001
K5o,51.29,4.13,59.8,0.533563
K2s,51.33,3.96,59.2,0.5331239999999999
J9o,51.67,3.24,58.6,0.532846
Q5s,50.82,4.16,58.0,0.529002
T8s,50.67,3.66,57.4,0.5250119999999999
K4o,50.33,4.21,56.8,0.524321
J7s,50.55,3.77,56.2,0.52431
Q4s,49.89,4.18,55.6,0.5198
Q7o,49.88,3.72,55.0,0.517467
T9o,49.87,3.43,54.4,0.51586
J8o,49.77,3.52,53.8,0.515332
K3o,49.38,4.18,53.3,0.514668
Q6o,48.98,4.07,52.7,0.510155
Q3s,48.86,4.17,52.1,0.509451
98s,48.9,3.81,51.5,0.50801
J6s,48.53,4.07,50.9,0.5056579999999999
K2o,48.43,4.21,50.3,0.50534
T7s,48.55,3.97,49.7,0.505333
22,49.34,1.89,49.1,0.502882
Q2s,48.14,4.19,48.5,0.502321
J5s,47.95,4.3,47.9,0.501016
Q5o,47.91,4.3,47.3,0.50061
T8o,47.86,3.78,46.7,0.497557
J7o,47.67,3.98,46.2,0.496593
97s,46.94,4.25,45.6,0.490676
J4s,46.87,4.36,45.0,0.490472
Q4o,46.83,4.38,44.4,0.490186
T6s,46.85,4.24,43.8,0.489734
J3s,46.05,4.39,43.2,0.48246199999999995
Q3o,46.01,4.39,42.6,0.482032
98o,46.07,4.08,42.0,0.481128
87s,45.68,4.51,41.4,0.479356
T7o,45.8,4.13,40.8,0.478611
J6o,45.67,4.24,40.2,0.47790299999999997
96s,45.12,4.5,39.6,0.473717
J2s,45.18,4.38,39.1,0.47371599999999997
Q2o,45.16,4.33,38.5,0.47319100000000003
T5s,45.02,4.49,37.9,0.472715
J5o,44.93,4.58,37.3,0.47219500000000003
T4s,44.28,4.68,36.7,0.466153
97o,44.15,4.44,36.1,0.46374899999999997
86s,43.77,4.87,35.5,0.462049
J4o,43.84,4.66,34.9,0.461669
T6o,43.8,4.5,34.3,0.460519
95s,43.39,4.88,33.7,0.458313
T3s,43.26,4.58,33.1,0.455543
J3o,42.97,4.62,32.5,0.45285000000000003
76s,42.74,5.05,32.0,0.45264
87o,42.79,4.71,31.4,0.451491
T2s,42.5,4.62,30.8,0.448135
85s,42.15,5.12,30.2,0.447079
96o,42.11,4.78,29.6,0.44503
T5o,41.93,4.77,29.0,0.443191
J2o,42.03,4.55,28.4,0.443039
94s,41.25,4.93,27.8,0.437173
75s,40.95,5.35,27.2,0.43623
T4o,41.09,4.88,26.6,0.435284
93s,40.88,4.88,26.0,0.43316600000000005
86o,40.78,5.05,25.4,0.43301500000000004
65s,40.24,5.63,24.9,0.430584
84s,40.12,5.19,24.3,0.427172
95o,40.14,5.07,23.7,0.42672
T3o,40.08,4.88,23.1,0.425203
76o,39.65,5.35,22.5,0.4233
92s,39.77,4.88,21.9,0.422097
74s,39.14,5.49,21.3,0.418886
T2o,39.35,4.79,20.7,0.417452
64s,38.58,5.74,20.1,0.41456000000000004
54s,38.47,5.84,19.5,0.413918
85o,38.69,5.4,18.9,0.413876
83s,38.38,5.2,18.3,0.40979400000000005
94o,38.14,5.13,17.8,0.407083
75o,37.62,5.68,17.2,0.404628
82s,37.73,5.15,16.6,0.403063
73s,37.39,5.44,16.0,0.40107
93o,37.47,5.16,15.4,0.400527
65o,37.02,5.91,14.8,0.399774
53s,36.66,5.88,14.2,0.396022
63s,36.65,5.66,13.6,0.39482999999999996
84o,36.67,5.49,13.0,0.394135
92o,36.51,5.12,12.4,0.39065500000000003
43s,35.86,5.78,11.8,0.387501
74o,35.68,5.76,11.2,0.38559
72s,35.37,5.42,10.7,0.380834
54o,35.02,6.12,10.1,0.380825
64o,35.02,6.04,9.5,0.38042
52s,34.86,5.85,8.9,0.37792000000000003
62s,34.87,5.69,8.3,0.377104
83o,34.82,5.45,7.7,0.375426
42s,33.87,5.82,7.1,0.367763
82o,34.01,5.48,6.5,0.36751199999999995
73o,33.68,5.79,5.9,0.365737
53o,33.13,6.12,5.3,0.36190799999999995
63o,33.05,5.98,4.7,0.360369
32s,32.96,5.77,4.1,0.358426
43o,31.98,6.15,3.6,0.35058100000000003
72o,31.62,5.71,3.0,0.344732
52o,31.18,6.19,2.4,0.34276500000000004
62o,31.04,6.01,1.8,0.340467
42o,29.94,6.17,1.2,0.33021599999999995
32o,29.24,6.15,0.6,0.323143
