Hand,Win_Rate_%,Tie_Rate_%,PR,Equity
AA,63.66,0.57,100.0,0.63949
KK,58.06,0.6,99.4,0.5836340000000001
QQ,53.31,0.66,98.8,0.536392
JJ,48.9,0.75,98.2,0.492772
TT,44.83,0.84,97.6,0.452474
AKs,40.61,1.99,97.0,0.416071
99,40.74,0.83,96.4,0.411551
AQs,38.89,2.24,95.9,0.400148
AJs,37.3,2.57,95.3,0.385811
AKo,37.43,2.06,94.7,0.384553
KQs,37.18,2.22,94.1,0.382841
88,37.28,0.82,93.5,0.376906
ATs,35.9,2.85,92.9,0.37331
AQo,35.81,2.38,92.3,0.370027
KJs,35.71,2.46,91.7,0.36936599999999997
QJs,34.59,2.53,91.1,0.358532
KTs,34.39,2.74,90.5,0.357537
AJo,34.11,2.73,89.9,0.354794
KQo,34.14,2.25,89.3,0.35265
QTs,33.32,2.71,88.8,0.34675799999999996
A9s,33.06,3.14,88.2,0.346262
77,33.98,0.83,87.6,0.344018
ATo,32.55,2.99,87.0,0.340434
JTs,32.61,2.7,86.4,0.339623
KJo,32.53,2.57,85.8,0.33814
A8s,31.94,3.48,85.2,0.336801
K9s,31.6,2.88,84.6,0.330415
QJo,31.42,2.61,84.0,0.32729800000000003
A7s,30.66,3.67,83.4,0.324924
KTo,31.05,2.84,82.8,0.324722
Q9s,30.46,2.89,82.2,0.319101
A5s,29.82,4.04,81.7,0.31836299999999995
66,31.19,0.88,81.1,0.316327
QTo,30.11,2.79,80.5,0.315043
J9s,29.98,2.84,79.9,0.31396
A6s,29.41,3.82,79.3,0.31313199999999997
A9o,29.57,3.27,78.7,0.31199499999999997
A4s,29.18,3.98,78.1,0.31171899999999997
T9s,29.68,2.86,77.5,0.311101
K8s,29.31,3.17,76.9,0.308915
JTo,29.45,2.81,76.3,0.30854699999999996
A3s,28.42,3.85,75.7,0.303461
A8o,28.36,3.61,75.1,0.301644
K7s,28.33,3.4,74.6,0.30033
Q8s,28.36,3.01,74.0,0.29865600000000003
K9o,28.18,3.07,73.4,0.297177
A2s,27.56,3.76,72.8,0.294432
J8s,27.71,2.97,72.2,0.291992
K6s,27.37,3.6,71.6,0.29166200000000003
55,28.62,0.93,71.0,0.290826
T8s,27.49,3.0,70.4,0.289876
A7o,26.95,3.89,69.8,0.288995
98s,27.17,2.89,69.2,0.286122
Q9o,27.05,3.01,68.6,0.285553
K5s,26.55,3.67,68.0,0.283902
A5o,26.06,4.25,67.5,0.281849
J9o,26.43,2.98,66.9,0.279233
T9o,26.38,2.95,66.3,0.278512
Q7s,26.2,3.25,65.7,0.278317
A6o,25.58,4.03,65.1,0.275956
K4s,25.76,3.64,64.5,0.275764
A4o,25.16,4.24,63.9,0.272845
K8o,25.63,3.3,63.3,0.27283199999999996
J7s,25.68,3.11,62.7,0.272379
Q6s,25.43,3.43,62.1,0.271422
K3s,25.35,3.55,61.5,0.271256
T7s,25.45,3.12,60.9,0.270077
87s,25.35,2.98,60.4,0.268387
97s,25.28,3.03,59.8,0.26792299999999997
Q5s,24.82,3.47,59.2,0.26556599999999997
A3o,24.44,4.06,58.6,0.264734
44,25.99,0.89,58.0,0.264356
K2s,24.69,3.44,57.4,0.264055
Q8o,24.68,3.19,56.8,0.26275899999999996
K7o,24.44,3.59,56.2,0.262389
Q4s,24.1,3.45,55.6,0.258204
J8o,24.13,3.11,55.0,0.256836
A2o,23.61,3.99,54.4,0.256069
T8o,24.01,3.11,53.8,0.255693
J6s,23.79,3.25,53.3,0.25418599999999997
K6o,23.49,3.77,52.7,0.253735
76s,23.71,2.98,52.1,0.25199900000000003
T6s,23.51,3.22,51.5,0.251208
98o,23.62,2.99,50.9,0.251149
Q3s,23.43,3.34,50.3,0.251012
86s,23.56,3.04,49.7,0.250831
96s,23.47,3.06,49.1,0.250022
J5s,23.11,3.38,48.5,0.24798499999999998
K5o,22.66,3.89,47.9,0.24601699999999999
Q2s,22.77,3.23,47.3,0.24384899999999998
J4s,22.52,3.33,46.7,0.241873
Q7o,22.46,3.34,46.2,0.241316
33,23.63,0.87,45.6,0.24062699999999998
65s,22.36,2.96,45.0,0.238427
K4o,21.9,3.81,44.4,0.23807699999999998
75s,22.13,3.02,43.8,0.236431
J3s,21.89,3.21,43.2,0.234947
J7o,21.8,3.25,42.6,0.234274
T7o,21.77,3.28,42.0,0.234077
T5s,21.74,3.3,41.4,0.233931
85s,21.86,3.02,40.8,0.233678
Q6o,21.54,3.57,40.2,0.23321499999999998
97o,21.71,3.18,39.6,0.233043
87o,21.72,3.08,39.1,0.232597
95s,21.59,3.07,38.5,0.231226
T4s,21.32,3.28,37.9,0.22958499999999998
K3o,21.07,3.71,37.3,0.229214
J2s,21.26,3.09,36.7,0.22809100000000002
54s,21.32,2.94,36.1,0.227876
Q5o,20.71,3.66,35.5,0.225405
T3s,20.84,3.12,34.9,0.224018
64s,20.96,2.83,34.3,0.2238
K2o,20.4,3.63,33.7,0.222195
22,21.64,0.8,33.1,0.22034399999999998
74s,20.45,2.93,32.5,0.219138
Q4o,19.86,3.64,32.0,0.216789
84s,20.15,2.95,31.4,0.216262
T2s,20.12,3.01,30.8,0.21618800000000002
76o,20.04,3.11,30.2,0.215944
J6o,19.87,3.42,29.6,0.215802
94s,19.97,3.08,29.0,0.215117
T6o,19.63,3.35,28.4,0.213
53s,19.9,2.77,27.8,0.212897
96o,19.7,3.14,27.2,0.212725
86o,19.68,3.17,26.6,0.21266700000000002
93s,19.53,2.98,26.0,0.2102
Q3o,19.21,3.54,25.4,0.20976
J5o,19.08,3.61,24.9,0.208876
63s,19.36,2.74,24.3,0.20735
43s,19.28,2.67,23.7,0.206169
92s,19.07,2.87,23.1,0.205093
Q2o,18.66,3.35,22.5,0.203317
73s,18.83,2.78,21.9,0.202177
J4o,18.41,3.53,21.3,0.20173000000000002
65o,18.57,3.06,20.7,0.201022
83s,18.58,2.87,20.1,0.20016
75o,18.3,3.15,19.5,0.19870900000000002
52s,18.43,2.66,18.9,0.19761599999999999
82s,18.26,2.75,18.3,0.196321
J3o,17.77,3.38,17.8,0.194575
85o,17.86,3.18,17.2,0.194485
T5o,17.72,3.45,16.6,0.194466
95o,17.64,3.28,16.0,0.192851
54o,17.64,3.04,15.4,0.19163
42s,17.89,2.51,14.8,0.191417
T4o,17.23,3.4,14.2,0.189269
62s,17.52,2.6,13.6,0.188255
J2o,17.1,3.22,13.0,0.18710300000000002
72s,17.28,2.68,12.4,0.186189
32s,17.16,2.37,11.8,0.183415
64o,16.82,2.99,11.2,0.183103
T3o,16.56,3.3,10.7,0.182077
74o,16.44,3.0,10.1,0.179358
84o,16.09,3.1,9.5,0.17644200000000002
94o,16.0,3.18,8.9,0.175928
T2o,15.88,3.17,8.3,0.174666
53o,15.94,2.9,7.7,0.173939
93o,15.3,3.16,7.1,0.168818
63o,15.25,2.89,6.5,0.16696899999999998
43o,15.23,2.74,5.9,0.165943
92o,14.84,2.97,5.3,0.163298
73o,14.78,2.91,4.7,0.16227999999999998
83o,14.37,2.99,4.1,0.15861699999999998
52o,14.31,2.76,3.6,0.156899
82o,13.87,2.92,3.0,0.153315
42o,13.66,2.6,2.4,0.14956
62o,13.5,2.7,1.8,0.148486
72o,13.11,2.75,1.2,0.144826
32o,12.86,2.46,0.6,0.14084100000000002
