Hand,Win_Rate_%,Tie_Rate_%,PR,Equity
AA,55.78,0.55,100.0,0.5605789999999999
KK,49.52,0.58,99.4,0.498095
QQ,44.54,0.71,98.8,0.44888500000000003
JJ,39.97,0.79,98.2,0.40366
TT,36.0,0.91,97.6,0.36451599999999995
AKs,34.5,2.02,97.0,0.35507
AQs,32.57,2.27,96.4,0.33704
99,32.4,0.8,95.9,0.327947
KQs,31.46,2.19,95.3,0.325563
AJs,31.07,2.63,94.7,0.323854
AKo,31.32,2.07,94.1,0.32360300000000003
ATs,29.73,2.9,93.5,0.311809
KJs,29.77,2.45,92.9,0.30998699999999996
AQo,29.39,2.42,92.3,0.305971
QJs,29.08,2.5,91.7,0.30329700000000004
KTs,28.65,2.67,91.1,0.299891
88,29.11,0.83,90.5,0.29522800000000005
KQo,28.28,2.25,89.9,0.294003
QTs,27.85,2.7,89.3,0.292017
AJo,27.62,2.69,88.8,0.28964399999999996
JTs,27.44,2.69,88.2,0.287854
A9s,26.88,3.09,87.6,0.28430900000000003
KJo,26.53,2.53,87.0,0.27792900000000004
ATo,26.14,3.05,86.4,0.276618
A8s,25.87,3.35,85.8,0.275409
K9s,26.0,2.75,85.2,0.27376100000000003
QJo,25.83,2.53,84.6,0.27094199999999996
77,26.43,0.82,84.0,0.268461
A7s,24.76,3.57,83.4,0.265472
Q9s,25.14,2.71,82.8,0.26501399999999997
KTo,25.06,2.84,82.2,0.26485800000000004
J9s,24.8,2.73,81.7,0.261681
A5s,24.2,3.9,81.1,0.261529
T9s,24.68,2.82,80.5,0.260859
QTo,24.41,2.77,79.9,0.257892
A6s,23.72,3.69,79.3,0.255648
A4s,23.62,3.81,78.7,0.255255
JTo,24.04,2.82,78.1,0.254503
K8s,23.81,3.03,77.5,0.253237
A3s,23.04,3.68,76.9,0.248827
A9o,23.18,3.19,76.3,0.247737
K7s,23.02,3.2,75.7,0.246199
66,24.15,0.85,75.1,0.245793
Q8s,23.08,2.88,74.6,0.24517799999999998
A2s,22.41,3.52,74.0,0.241732
T8s,22.68,2.9,73.4,0.241276
J8s,22.65,2.86,72.8,0.24082399999999998
K6s,22.14,3.36,72.2,0.23818699999999998
98s,22.42,2.74,71.6,0.23788800000000002
K9o,22.2,2.96,71.0,0.23682599999999998
A8o,21.88,3.54,70.4,0.236486
K5s,21.48,3.46,69.8,0.232097
Q9o,21.55,2.83,69.2,0.22968899999999998
A7o,20.79,3.76,68.6,0.22664600000000001
J9o,21.2,2.91,68.0,0.226514
Q7s,21.13,3.01,67.5,0.226392
T9o,21.07,2.94,66.9,0.225458
55,22.07,0.85,66.3,0.224932
K4s,20.72,3.42,65.7,0.224265
J7s,20.88,2.92,65.1,0.223434
T7s,20.82,2.95,64.5,0.222924
87s,20.89,2.73,63.9,0.222523
97s,20.72,2.83,63.3,0.221343
A5o,20.01,4.01,62.7,0.220164
Q6s,20.35,3.22,62.1,0.21962800000000002
K3s,20.28,3.23,61.5,0.218956
K2s,19.96,3.11,60.9,0.215154
A6o,19.61,3.8,60.4,0.21513400000000002
K8o,19.87,3.14,59.8,0.21441100000000002
Q5s,19.77,3.31,59.2,0.214226
A4o,19.35,3.96,58.6,0.21324800000000002
76s,19.55,2.73,58.0,0.209201
Q4s,19.29,3.2,57.4,0.208831
A3o,18.92,3.84,56.8,0.208412
86s,19.41,2.79,56.2,0.208038
44,20.32,0.8,55.6,0.20723899999999998
Q8o,19.19,2.99,55.0,0.206899
K7o,18.92,3.4,54.4,0.20614300000000002
J6s,19.08,3.02,53.8,0.205931
T6s,19.05,3.02,53.3,0.205653
T8o,19.02,2.95,52.7,0.20496899999999998
96s,19.07,2.83,52.1,0.20486200000000002
J8o,18.94,2.99,51.5,0.204292
Q3s,18.87,3.01,50.9,0.20372900000000002
98o,18.87,2.84,50.3,0.202961
J5s,18.56,3.22,49.7,0.201746
A2o,18.13,3.68,49.1,0.199738
Q2s,18.44,2.87,48.5,0.198779
65s,18.43,2.7,47.9,0.197849
J4s,18.14,3.1,47.3,0.196859
K6o,17.91,3.49,46.7,0.196545
75s,18.14,2.76,46.2,0.195138
85s,17.82,2.81,45.6,0.192248
33,18.86,0.69,45.0,0.19206
J3s,17.68,2.93,44.4,0.191472
T5s,17.55,3.07,43.8,0.19083299999999997
54s,17.72,2.62,43.2,0.190333
K5o,17.15,3.62,42.6,0.189531
95s,17.45,2.83,42.0,0.188688
T4s,17.2,3.03,41.4,0.18712499999999999
Q7o,17.09,3.13,40.8,0.18653699999999998
J2s,17.14,2.8,40.2,0.185382
T7o,16.99,3.07,39.6,0.185248
87o,17.05,2.87,39.1,0.184851
64s,17.21,2.53,38.5,0.18476900000000002
J7o,16.93,3.08,37.9,0.184731
K4o,16.71,3.52,37.3,0.184649
97o,16.96,2.97,36.7,0.18446
Q6o,16.45,3.41,36.1,0.18155100000000002
T3s,16.65,2.85,35.5,0.180716
74s,16.76,2.57,34.9,0.18042
22,17.52,0.64,34.3,0.178465
K3o,16.07,3.41,33.7,0.177755
53s,16.48,2.47,33.1,0.177107
84s,16.27,2.7,32.5,0.176136
T2s,16.21,2.74,32.0,0.17583100000000002
94s,16.06,2.76,31.4,0.17440699999999998
Q5o,15.71,3.46,30.8,0.17438499999999998
76o,15.81,2.85,30.2,0.17231400000000002
K2o,15.54,3.28,29.6,0.171812
43s,15.98,2.27,29.0,0.17110599999999998
93s,15.71,2.7,28.4,0.170663
86o,15.6,2.89,27.8,0.170463
63s,15.84,2.33,27.2,0.170074
Q4o,15.09,3.29,26.6,0.1673
92s,15.37,2.54,26.0,0.16642
96o,15.15,2.97,25.4,0.166376
T6o,15.05,3.17,24.9,0.166327
J6o,15.02,3.17,24.3,0.16611
73s,15.32,2.45,23.7,0.165433
52s,15.26,2.25,23.1,0.163872
Q3o,14.74,3.16,22.5,0.163217
83s,14.88,2.57,21.9,0.16167600000000001
J5o,14.43,3.34,21.3,0.161035
65o,14.53,2.83,20.7,0.159473
82s,14.68,2.41,20.1,0.15885400000000002
75o,14.31,2.87,19.5,0.157437
42s,14.68,2.11,18.9,0.157404
Q2o,14.11,3.02,18.3,0.156254
62s,14.43,2.21,17.8,0.15535600000000002
J4o,13.79,3.18,17.2,0.153787
85o,13.77,2.94,16.6,0.152426
32s,14.21,1.95,16.0,0.151866
54o,13.8,2.71,15.4,0.151577
72s,13.99,2.31,14.8,0.151425
T5o,13.41,3.24,14.2,0.15033000000000002
95o,13.4,3.04,13.6,0.149263
J3o,13.25,3.02,13.0,0.14759799999999998
64o,13.29,2.63,12.4,0.146039
T4o,12.86,3.17,11.8,0.144391
J2o,12.89,2.91,11.2,0.143479
74o,12.78,2.7,10.7,0.14132199999999998
T3o,12.51,3.04,10.1,0.140241
53o,12.52,2.59,9.5,0.138098
84o,12.18,2.79,8.9,0.13577899999999998
T2o,11.93,2.87,8.3,0.133643
94o,11.89,2.9,7.7,0.13342500000000002
43o,11.9,2.37,7.1,0.130807
63o,11.75,2.45,6.5,0.129811
93o,11.36,2.81,5.9,0.127631
73o,11.12,2.56,5.3,0.12395800000000001
92o,10.98,2.64,4.7,0.12304799999999999
52o,11.07,2.42,4.1,0.122798
83o,10.63,2.68,3.6,0.119756
42o,10.58,2.19,3.0,0.11677
82o,10.33,2.55,2.4,0.116084
62o,10.14,2.33,1.8,0.113048
32o,9.98,1.96,1.2,0.109612
72o,9.64,2.39,0.6,0.108317
