Hand,Win_Rate_%,Tie_Rate_%,PR,Equity
AA,48.92,0.56,100.0,0.492007
KK,42.77,0.6,99.4,0.430686
QQ,37.55,0.73,98.8,0.379128
JJ,33.1,0.83,98.2,0.33516
AKs,30.16,2.01,97.6,0.31162999999999996
TT,29.5,0.93,97.0,0.299672
AQs,28.36,2.29,96.4,0.295024
KQs,27.25,2.15,95.9,0.28328
AJs,26.73,2.59,95.3,0.28024299999999996
AKo,26.83,2.06,94.7,0.278574
KJs,26.0,2.42,94.1,0.27213400000000004
ATs,25.35,2.91,93.5,0.268068
99,26.14,0.8,92.9,0.265381
QJs,25.11,2.45,92.3,0.263311
KTs,24.69,2.68,91.7,0.260247
AQo,24.79,2.35,91.1,0.259652
QTs,23.91,2.68,90.5,0.25244099999999997
KQo,24.01,2.24,89.9,0.251317
JTs,23.6,2.68,89.3,0.249351
AJo,23.09,2.71,88.8,0.24443299999999998
A9s,22.84,3.02,88.2,0.24343700000000001
88,23.65,0.84,87.6,0.240676
KJo,22.37,2.54,87.0,0.23635899999999999
K9s,22.03,2.67,86.4,0.233683
A8s,21.69,3.28,85.8,0.233344
ATo,21.64,3.0,85.2,0.23135
QJo,21.62,2.53,84.6,0.228877
Q9s,21.44,2.62,84.0,0.227458
T9s,21.2,2.73,83.4,0.22564199999999998
J9s,21.21,2.67,82.8,0.225492
A7s,20.82,3.42,82.2,0.225315
A5s,20.56,3.69,81.7,0.22403399999999998
KTo,20.96,2.81,81.1,0.223655
77,21.57,0.83,80.5,0.219813
A4s,19.96,3.66,79.9,0.217946
A6s,20.0,3.58,79.3,0.217849
QTo,20.33,2.78,78.7,0.217168
JTo,20.13,2.86,78.1,0.215609
K8s,20.05,2.91,77.5,0.215063
A3s,19.5,3.48,76.9,0.212364
Q8s,19.44,2.78,76.3,0.20824
A2s,19.11,3.35,75.7,0.207898
K7s,19.2,3.12,75.1,0.20759
T8s,19.35,2.81,74.6,0.207522
J8s,19.23,2.76,74.0,0.20610599999999998
A9o,18.85,3.15,73.4,0.204228
98s,19.02,2.66,72.8,0.203505
66,19.78,0.81,72.2,0.20183700000000002
K6s,18.48,3.23,71.6,0.20093
K5s,18.08,3.3,71.0,0.197276
K9o,18.19,2.85,70.4,0.196111
A8o,17.62,3.44,69.8,0.193418
Q7s,17.82,2.93,69.2,0.19279000000000002
K4s,17.56,3.22,68.6,0.191724
87s,17.76,2.64,68.0,0.190807
T7s,17.63,2.85,67.5,0.190579
Q9o,17.64,2.76,66.9,0.190234
T9o,17.59,2.87,66.3,0.19021
J7s,17.58,2.84,65.7,0.189969
97s,17.61,2.69,65.1,0.189504
J9o,17.33,2.79,64.2,0.18726500000000001
K3s,17.21,3.03,64.2,0.18726500000000001
55,18.16,0.83,63.3,0.18579400000000001
Q6s,17.03,3.03,62.7,0.185475
A7o,16.7,3.62,62.1,0.185086
K2s,16.94,2.88,61.5,0.18374200000000002
A5o,16.27,3.91,60.9,0.182255
Q5s,16.57,3.13,60.4,0.181359
76s,16.75,2.6,59.8,0.180493
86s,16.55,2.63,59.2,0.178638
Q4s,16.18,3.01,58.6,0.176848
A4o,15.76,3.83,58.0,0.176701
A6o,15.69,3.73,57.4,0.175549
K8o,15.98,3.05,56.8,0.175041
T6s,16.04,2.91,56.2,0.17498100000000003
96s,16.13,2.68,55.6,0.17472700000000002
44,17.06,0.75,55.0,0.174355
J6s,15.95,2.94,54.4,0.17418599999999998
Q3s,15.96,2.85,53.8,0.173814
65s,15.87,2.57,53.3,0.171561
J5s,15.57,3.05,52.7,0.170937
A3o,15.26,3.65,52.1,0.170792
T8o,15.56,2.89,51.5,0.170059
J8o,15.56,2.88,50.9,0.169963
75s,15.63,2.63,50.3,0.169475
Q8o,15.49,2.88,49.7,0.16936
Q2s,15.53,2.65,49.1,0.168611
K7o,15.11,3.28,48.5,0.167483
98o,15.34,2.69,47.9,0.166823
54s,15.41,2.51,47.3,0.166583
J4s,15.16,2.89,46.7,0.16605299999999998
85s,15.16,2.61,46.2,0.1646
A2o,14.7,3.49,45.6,0.164487
33,16.12,0.64,45.0,0.16439
T5s,14.68,2.99,44.4,0.16177
J3s,14.73,2.75,43.8,0.161103
K6o,14.39,3.44,43.2,0.16108
95s,14.66,2.72,42.6,0.16022899999999998
64s,14.83,2.34,42.0,0.159964
J2s,14.52,2.54,41.4,0.15789799999999998
T4s,14.31,2.87,40.8,0.15748099999999998
22,15.37,0.54,40.2,0.156385
K5o,13.74,3.47,39.6,0.154779
53s,14.33,2.29,39.1,0.154727
74s,14.24,2.43,38.5,0.154575
87o,14.05,2.73,37.9,0.154171
T3s,13.95,2.78,37.3,0.153445
T7o,13.79,2.99,36.7,0.15281
97o,13.88,2.78,36.1,0.15267
Q7o,13.65,3.06,35.5,0.151848
T2s,13.76,2.54,34.9,0.150275
J7o,13.52,2.96,34.3,0.150049
84s,13.71,2.48,33.7,0.14948
43s,13.87,2.06,33.1,0.149025
K4o,13.2,3.32,32.5,0.148651
94s,13.46,2.57,32.0,0.147477
Q6o,13.08,3.19,31.4,0.146731
63s,13.6,2.13,30.8,0.146621
93s,13.25,2.47,30.2,0.144897
K3o,12.8,3.24,29.6,0.144153
76o,13.03,2.68,29.0,0.143645
73s,13.06,2.28,28.4,0.142009
52s,13.12,2.06,27.8,0.141514
92s,12.91,2.31,27.2,0.140675
Q5o,12.41,3.25,26.6,0.140305
K2o,12.5,3.04,26.0,0.140224
86o,12.63,2.75,25.4,0.140061
83s,12.58,2.37,24.9,0.13767300000000002
42s,12.79,1.86,24.3,0.13721799999999998
96o,12.2,2.81,23.7,0.136058
T6o,11.96,3.07,23.1,0.134882
82s,12.35,2.26,22.5,0.13475399999999998
Q4o,11.9,3.16,21.9,0.134729
J6o,11.85,3.15,21.3,0.134205
62s,12.39,2.01,20.7,0.133957
65o,12.03,2.62,20.1,0.133419
32s,12.4,1.64,19.5,0.132195
Q3o,11.55,3.02,18.9,0.130628
75o,11.65,2.65,18.3,0.129789
J5o,11.33,3.23,17.8,0.129499
72s,11.87,2.11,17.2,0.129198
54o,11.61,2.49,16.6,0.128499
Q2o,11.2,2.85,16.0,0.126202
85o,11.13,2.78,15.4,0.125252
J4o,10.85,3.02,14.8,0.123627
64o,10.92,2.45,14.2,0.121391
J3o,10.64,2.89,13.6,0.120895
T5o,10.49,3.12,13.0,0.12048099999999999
95o,10.6,2.86,12.4,0.120255
J2o,10.29,2.71,11.8,0.11642699999999999
T4o,10.09,3.06,11.2,0.116258
74o,10.28,2.53,10.7,0.115453
53o,10.35,2.33,10.1,0.11513999999999999
T3o,9.73,2.87,9.5,0.111605
84o,9.68,2.6,8.9,0.109777
43o,9.8,2.14,8.3,0.108705
T2o,9.44,2.7,7.7,0.107915
63o,9.61,2.26,7.1,0.10734
94o,9.3,2.73,6.5,0.106634
93o,8.97,2.63,5.9,0.102863
52o,9.04,2.2,5.3,0.101409
73o,8.9,2.34,4.7,0.100717
92o,8.62,2.43,4.1,0.09840600000000001
42o,8.7,1.95,3.6,0.096752
83o,8.3,2.49,3.0,0.095521
82o,8.11,2.34,2.4,0.092811
62o,8.22,2.1,1.8,0.092724
32o,8.21,1.78,1.2,0.091022
72o,7.62,2.2,0.6,0.087224
