Hand,Equity,Rake_Adj_Equity,VPIP,PR
AA,0.750425,0.69789525,25,100.0
KK,0.620442,0.57701106,25,99.40828402366864
QQ,0.54457,0.5064501,25,98.81656804733728
JJ,0.493152,0.45863135999999993,25,98.22485207100591
AKs,0.461693,0.42937449,25,97.63313609467455
TT,0.448121,0.41675252999999995,25,97.0414201183432
AKo,0.433115,0.40279695,25,96.44970414201184
AQs,0.423795,0.39412934999999993,25,95.85798816568047
99,0.408874,0.38025282,25,95.26627218934911
AJs,0.391543,0.36413498999999994,25,94.67455621301775
AQo,0.390984,0.36361511999999996,25,94.0828402366864
88,0.380318,0.35369574,25,93.49112426035504
ATs,0.359856,0.33466608,25,92.89940828402366
AJo,0.357376,0.33235968,25,92.3076923076923
77,0.357303,0.33229179,25,91.71597633136095
KQs,0.344688,0.32055984,25,91.12426035502959
66,0.338268,0.31458924,25,90.53254437869822
KJs,0.324608,0.30188544,25,89.94082840236686
ATo,0.323746,0.30108377999999997,25,89.3491124260355
A9s,0.323327,0.30069410999999996,25,88.75739644970415
55,0.31869,0.29638169999999997,25,88.16568047337277
QJs,0.314719,0.29268867,25,87.57396449704143
KQo,0.30989,0.2881977,25,86.98224852071006
KTs,0.307713,0.28617309,25,86.3905325443787
JTs,0.30703,0.2855379,25,85.79881656804734
44,0.30584,0.2844312,25,85.20710059171599
A8s,0.303037,0.28182440999999997,25,84.61538461538461
QTs,0.302614,0.28143102,25,84.02366863905326
33,0.298151,0.27728042999999997,25,83.4319526627219
T9s,0.295381,0.27470433,25,82.84023668639054
22,0.292187,0.27173390999999997,25,82.24852071005917
KJo,0.289066,0.26883137999999995,25,81.65680473372781
J9s,0.288265,0.26808645,25,81.06508875739645
98s,0.287745,0.26760284999999995,25,80.4733727810651
87s,0.287474,0.26735082,25,79.88165680473372
A7s,0.287409,0.26729037,25,79.28994082840237
T8s,0.286094,0.26606742,25,78.69822485207101
A9o,0.284838,0.26489934,25,78.10650887573965
Q9s,0.284177,0.26428461,25,77.51479289940828
76s,0.284094,0.26420741999999997,25,76.92307692307693
65s,0.282266,0.26250738,25,76.33136094674556
K9s,0.280138,0.26052833999999997,25,75.7396449704142
