Hand,Equity,Rake_Adj_Equity,VPIP,PR
AA,0.856853,0.79687329,50,100.0
KK,0.792084,0.73663812,50,99.40828402366864
QQ,0.738839,0.68712027,50,98.81656804733728
JJ,0.698687,0.6497789099999999,50,98.22485207100591
AKs,0.67515,0.6278895,50,97.63313609467455
TT,0.667663,0.62092659,50,97.0414201183432
AKo,0.657951,0.6118944299999999,50,96.44970414201184
AQs,0.649825,0.6043372499999999,50,95.85798816568047
99,0.634877,0.59043561,50,95.26627218934911
AQo,0.631023,0.58685139,50,94.67455621301775
AJs,0.628165,0.5841934499999999,50,94.0828402366864
ATs,0.613676,0.5707186799999999,50,93.49112426035504
AJo,0.608317,0.5657348099999999,50,92.89940828402366
88,0.601967,0.55982931,50,92.3076923076923
ATo,0.592038,0.5505953399999999,50,91.71597633136095
A9s,0.583688,0.5428298399999999,50,91.12426035502959
KQs,0.577682,0.53724426,50,90.53254437869822
77,0.576,0.5356799999999999,50,89.94082840236686
A8s,0.566088,0.52646184,50,89.3491124260355
A9o,0.560284,0.52106412,50,88.75739644970415
KJs,0.559401,0.52024293,50,88.16568047337277
KQo,0.555306,0.51643458,50,87.57396449704143
66,0.55491,0.5160663,50,86.98224852071006
A7s,0.549801,0.51131493,50,86.3905325443787
KTs,0.544232,0.50613576,50,85.79881656804734
A8o,0.543024,0.50501232,50,85.20710059171599
A6s,0.535851,0.4983414299999999,50,84.61538461538461
KJo,0.534472,0.49705895999999994,50,84.02366863905326
55,0.533372,0.49603595999999994,50,83.4319526627219
A5s,0.532643,0.49535798999999997,50,82.84023668639054
A4s,0.523922,0.48724745999999997,50,82.24852071005917
A7o,0.523839,0.48717027,50,81.65680473372781
KTo,0.518873,0.48255189,50,81.06508875739645
A3s,0.517431,0.4812108299999999,50,80.4733727810651
K9s,0.516975,0.48078674999999993,50,79.88165680473372
44,0.511313,0.47552109,50,79.28994082840237
A2s,0.510638,0.47489334,50,78.69822485207101
A6o,0.509928,0.47423304,50,78.10650887573965
A5o,0.506032,0.47060976,50,77.51479289940828
QJs,0.503766,0.46850238,50,76.92307692307693
A4o,0.496995,0.46220535,50,76.33136094674556
33,0.490279,0.45595947,50,75.7396449704142
A3o,0.490208,0.4558934399999999,50,75.14792899408283
K8s,0.490081,0.45577533,50,74.55621301775149
K9o,0.489554,0.45528521999999993,50,73.96449704142012
QTs,0.48803,0.4538679,50,73.37278106508876
A2o,0.483443,0.44960199,50,72.7810650887574
QJo,0.476265,0.44292644999999997,50,72.18934911242604
K7s,0.475001,0.44175093,50,71.59763313609467
22,0.473776,0.44061167999999995,50,71.00591715976331
K6s,0.465663,0.43306659,50,70.41420118343196
QTo,0.462111,0.42976322999999994,50,69.8224852071006
Q9s,0.462042,0.42969905999999997,50,69.23076923076923
K8o,0.461328,0.42903504,50,68.63905325443787
JTs,0.459726,0.42754517999999997,50,68.04733727810651
K5s,0.45367,0.4219131,50,67.45562130177515
K7o,0.446732,0.41546076,50,66.86390532544378
K4s,0.444101,0.41301393,50,66.27218934911244
Q8s,0.438908,0.40818444,50,65.68047337278107
K3s,0.438664,0.40795751999999996,50,65.08875739644971
K2s,0.435279,0.40480947,50,64.49704142011834
J9s,0.433722,0.40336145999999995,50,63.905325443786985
K6o,0.4335,0.403155,50,63.31360946745562
Q9o,0.432784,0.40248912,50,62.721893491124256
JTo,0.43127,0.40108109999999997,50,62.1301775147929
T9s,0.421651,0.39213542999999995,50,61.53846153846154
K5o,0.421572,0.39206196,50,60.946745562130175
Q7s,0.416411,0.38726222999999993,50,60.35502958579882
K4o,0.413341,0.38440713,50,59.76331360946746
J8s,0.409364,0.38070852,50,59.171597633136095
Q6s,0.409015,0.38038394999999997,50,58.57988165680473
K3o,0.406338,0.37789433999999994,50,57.98816568047337
Q8o,0.406075,0.37764975,50,57.396449704142015
98s,0.405466,0.37708337999999997,50,56.80473372781065
T8s,0.404609,0.37628637,50,56.213017751479285
J9o,0.40241,0.37424129999999994,50,55.62130177514793
Q5s,0.401577,0.37346661,50,55.02958579881657
K2o,0.401068,0.37299323999999995,50,54.437869822485204
87s,0.398309,0.37042737,50,53.84615384615385
Q4s,0.394703,0.36707379,50,53.25443786982249
76s,0.393401,0.36586293,50,52.662721893491124
97s,0.393136,0.36561647999999997,50,52.071005917159766
J7s,0.391989,0.36454976999999994,50,51.4792899408284
T7s,0.390361,0.36303573,50,50.887573964497044
T9o,0.390342,0.36301806,50,50.29585798816568
65s,0.38874,0.36152819999999997,50,49.70414201183432
Q3s,0.388398,0.36121014,50,49.112426035502956
86s,0.387402,0.36028386,50,48.5207100591716
Q2s,0.385843,0.35883399,50,47.928994082840234
Q7o,0.382721,0.35593052999999997,50,47.337278106508876
75s,0.382398,0.35563014,50,46.74556213017752
54s,0.381951,0.35521442999999997,50,46.15384615384615
96s,0.379715,0.35313495,50,45.562130177514796
J6s,0.377137,0.35073740999999997,50,44.97041420118343
J8o,0.376568,0.35020824,50,44.37869822485207
J5s,0.376163,0.34983159,50,43.786982248520715
T6s,0.375468,0.34918524,50,43.19526627218935
Q6o,0.374708,0.34847843999999994,50,42.60355029585799
85s,0.374455,0.34824314999999995,50,42.01183431952663
64s,0.37306,0.34694579999999997,50,41.42011834319527
J4s,0.372539,0.34646127,50,40.828402366863905
98o,0.372203,0.34614879,50,40.23668639053255
T8o,0.371123,0.34514438999999997,50,39.64497041420118
Q5o,0.367356,0.34164108,50,39.053254437869825
95s,0.366831,0.34115283,50,38.46153846153847
53s,0.366601,0.34093893,50,37.8698224852071
87o,0.364837,0.33929841,50,37.278106508875744
T5s,0.364218,0.33872273999999997,50,36.68639053254438
74s,0.364055,0.33857115,50,36.09467455621302
J3s,0.364038,0.3385553399999999,50,35.50295857988166
J2s,0.361701,0.33638193,50,34.9112426035503
76o,0.360468,0.33523524,50,34.319526627218934
43s,0.360241,0.33502413,50,33.72781065088758
Q4o,0.359942,0.33474605999999996,50,33.13609467455622
97o,0.358833,0.33371469,50,32.544378698224854
T4s,0.35853,0.3334329,50,31.952662721893493
84s,0.358025,0.33296325,50,31.360946745562128
J7o,0.357022,0.33203045999999997,50,30.76923076923077
T7o,0.355846,0.33093678,50,30.17751479289941
63s,0.355389,0.33051177,50,29.585798816568047
Q3o,0.354101,0.32931393,50,28.994082840236686
T3s,0.353892,0.32911956,50,28.402366863905325
65o,0.353375,0.32863875,50,27.810650887573964
52s,0.353361,0.32862572999999995,50,27.218934911242602
T2s,0.352,0.32736,50,26.627218934911244
Q2o,0.351971,0.32733302999999997,50,26.035502958579883
94s,0.351692,0.32707356,50,25.443786982248522
86o,0.35132,0.3267276,50,24.85207100591716
73s,0.349037,0.32460440999999995,50,24.2603550295858
54o,0.348508,0.32411243999999995,50,23.668639053254438
42s,0.347924,0.32356932,50,23.076923076923077
93s,0.347554,0.32322522,50,22.485207100591715
75o,0.347459,0.32313687,50,21.893491124260358
92s,0.347018,0.32272673999999996,50,21.301775147928996
96o,0.34455,0.3204315,50,20.710059171597635
62s,0.342984,0.31897512,50,20.118343195266274
T6o,0.341831,0.31790282999999997,50,19.526627218934912
82s,0.341172,0.31728996,50,18.93491124260355
83s,0.341054,0.31718022,50,18.34319526627219
J5o,0.340947,0.31708071,50,17.75147928994083
J6o,0.340381,0.31655433,50,17.159763313609467
32s,0.339615,0.31584195,50,16.56804733727811
85o,0.338368,0.31468224,50,15.976331360946746
64o,0.336521,0.31296453,50,15.384615384615385
72s,0.335847,0.31233771,50,14.792899408284024
J4o,0.333401,0.31006292999999996,50,14.201183431952662
95o,0.331299,0.30810807,50,13.609467455621301
53o,0.330852,0.30769235999999994,50,13.017751479289942
74o,0.328877,0.30585560999999994,50,12.42603550295858
T5o,0.327513,0.30458709,50,11.834319526627219
J3o,0.327227,0.30432110999999995,50,11.242603550295858
J2o,0.326163,0.30333159,50,10.650887573964498
T4o,0.324947,0.30220071,50,10.059171597633137
43o,0.323751,0.30108842999999996,50,9.467455621301776
84o,0.320642,0.29819705999999996,50,8.875739644970414
63o,0.319575,0.29720474999999996,50,8.284023668639055
T3o,0.318664,0.29635752,50,7.6923076923076925
52o,0.317483,0.29525919,50,7.100591715976331
T2o,0.315554,0.29346521999999997,50,6.508875739644971
94o,0.314721,0.29269052999999995,50,5.9171597633136095
73o,0.311606,0.28979358,50,5.325443786982249
42o,0.311335,0.28954155,50,4.733727810650888
93o,0.309829,0.28814097,50,4.142011834319527
92o,0.308769,0.28715517,50,3.5502958579881656
62o,0.305841,0.28443212999999995,50,2.9585798816568047
32o,0.304307,0.28300550999999996,50,2.366863905325444
82o,0.303934,0.28265861999999997,50,1.7751479289940828
83o,0.302751,0.28155842999999997,50,1.183431952662722
72o,0.299055,0.27812115,50,0.591715976331361
