Hand,Equity,Rake_Adj_Equity,VPIP,PR
AA,0.85649,0.7965357,40,100.0
KK,0.772537,0.71845941,40,99.40828402366864
QQ,0.716667,0.66650031,40,98.81656804733728
JJ,0.681217,0.6335318099999999,40,98.22485207100591
AKs,0.667392,0.62067456,40,97.63313609467455
AKo,0.651798,0.60617214,40,97.0414201183432
TT,0.651515,0.6059089499999999,40,96.44970414201184
AQs,0.637565,0.59293545,40,95.85798816568047
AQo,0.61945,0.5760884999999999,40,95.26627218934911
AJs,0.616124,0.57299532,40,94.67455621301775
99,0.614616,0.57159288,40,94.0828402366864
ATs,0.594765,0.55313145,40,93.49112426035504
AJo,0.594312,0.55271016,40,92.89940828402366
88,0.585143,0.5441829899999999,40,92.3076923076923
ATo,0.574496,0.53428128,40,91.71597633136095
77,0.562343,0.52297899,40,91.12426035502959
A9s,0.561393,0.52209549,40,90.53254437869822
66,0.539134,0.50139462,40,89.94082840236686
A8s,0.539127,0.5013881099999999,40,89.3491124260355
KQs,0.538174,0.50050182,40,88.75739644970415
A9o,0.537615,0.4999819499999999,40,88.16568047337277
A7s,0.523214,0.4865890199999999,40,87.57396449704143
KJs,0.521402,0.48490386,40,86.98224852071006
55,0.519208,0.48286344,40,86.3905325443787
A8o,0.514803,0.47876679,40,85.79881656804734
KQo,0.513175,0.47725275,40,85.20710059171599
A6s,0.504619,0.46929567,40,84.61538461538461
KTs,0.503038,0.46782534,40,84.02366863905326
A5s,0.499884,0.46489211999999996,40,83.4319526627219
44,0.497863,0.46301258999999995,40,82.84023668639054
A7o,0.495341,0.4606671299999999,40,82.24852071005917
KJo,0.493119,0.45860066999999993,40,81.65680473372781
A4s,0.4924,0.45793199999999995,40,81.06508875739645
A3s,0.486695,0.45262634999999996,40,80.4733727810651
A2s,0.480897,0.44723420999999997,40,79.88165680473372
A6o,0.477865,0.44441444999999996,40,79.28994082840237
33,0.477179,0.44377647,40,78.69822485207101
KTo,0.47498,0.4417314,40,78.10650887573965
A5o,0.471443,0.43844198999999995,40,77.51479289940828
K9s,0.471177,0.43819461,40,76.92307692307693
QJs,0.465854,0.43324421999999996,40,76.33136094674556
A4o,0.464399,0.43189107,40,75.7396449704142
22,0.461666,0.42934938,40,75.14792899408283
A3o,0.457017,0.42502581,40,74.55621301775149
A2o,0.45114,0.41956019999999994,40,73.96449704142012
QTs,0.450809,0.41925237,40,73.37278106508876
K8s,0.443506,0.41246057999999997,40,72.7810650887574
K9o,0.442112,0.41116416,40,72.18934911242604
QJo,0.437044,0.40645091999999994,40,71.59763313609467
JTs,0.432503,0.40222779,40,71.00591715976331
K7s,0.431044,0.40087091999999996,40,70.41420118343196
QTo,0.421173,0.39169089,40,69.8224852071006
K6s,0.421006,0.39153557999999994,40,69.23076923076923
Q9s,0.420779,0.39132447,40,68.63905325443787
K5s,0.412368,0.38350224,40,68.04733727810651
K8o,0.4121,0.383253,40,67.45562130177515
J9s,0.407628,0.37909403999999997,40,66.86390532544378
T9s,0.407586,0.37905498,40,66.27218934911244
K4s,0.403637,0.37538241,40,65.68047337278107
JTo,0.401819,0.37369167,40,65.08875739644971
K3s,0.400799,0.37274307,40,64.49704142011834
98s,0.400427,0.37239711,40,63.905325443786985
Q8s,0.400339,0.37231527,40,63.31360946745562
K7o,0.397572,0.36974196,40,62.721893491124256
T8s,0.395692,0.36799355999999994,40,62.1301775147929
87s,0.394812,0.36717515999999994,40,61.53846153846154
K2s,0.394227,0.36663111,40,60.946745562130175
J8s,0.393494,0.36594941999999997,40,60.35502958579882
Q9o,0.389307,0.36205550999999997,40,59.76331360946746
97s,0.38791,0.3607563,40,59.171597633136095
76s,0.387873,0.36072189,40,58.57988165680473
K6o,0.385708,0.35870843999999996,40,57.98816568047337
Q7s,0.383824,0.35695632,40,57.396449704142015
65s,0.383738,0.35687634,40,56.80473372781065
T7s,0.382372,0.35560595999999994,40,56.213017751479285
86s,0.381472,0.35476895999999997,40,55.62130177514793
Q6s,0.381419,0.35471967,40,55.02958579881657
Q5s,0.378822,0.35230446,40,54.437869822485204
54s,0.378546,0.35204778,40,53.84615384615385
J7s,0.378012,0.35155116,40,53.25443786982249
K5o,0.3769,0.35051699999999997,40,52.662721893491124
75s,0.376871,0.35049003,40,52.071005917159766
T9o,0.376603,0.35024078999999997,40,51.4792899408284
J9o,0.374349,0.34814457,40,50.887573964497044
96s,0.374247,0.34804970999999996,40,50.29585798816568
Q4s,0.373032,0.34691975999999997,40,49.70414201183432
K4o,0.370726,0.34477517999999996,40,49.112426035502956
85s,0.370637,0.34469240999999995,40,48.5207100591716
64s,0.367388,0.34167084,40,47.928994082840234
T6s,0.366888,0.34120584,40,47.337278106508876
Q3s,0.366474,0.34082082,40,46.74556213017752
Q8o,0.365824,0.34021631999999996,40,46.15384615384615
98o,0.365319,0.33974667,40,45.562130177514796
J5s,0.365308,0.33973644,40,44.97041420118343
J6s,0.364231,0.33873483,40,44.37869822485207
K3o,0.363526,0.33807918,40,43.786982248520715
T8o,0.362554,0.33717521999999994,40,43.19526627218935
87o,0.361758,0.33643494,40,42.60355029585799
Q2s,0.361673,0.33635589,40,42.01183431952663
95s,0.361602,0.33628985999999994,40,41.42011834319527
53s,0.361396,0.33609827999999997,40,40.828402366863905
74s,0.361104,0.33582671999999997,40,40.23668639053255
K2o,0.359474,0.33431082,40,39.64497041420118
J4s,0.359209,0.33406437,40,39.053254437869825
J8o,0.358636,0.33353148,40,38.46153846153847
43s,0.355152,0.33029136,40,37.8698224852071
T5s,0.355123,0.33026439,40,37.278106508875744
J3s,0.353542,0.32879406,40,36.68639053254438
97o,0.353408,0.32866944,40,36.09467455621302
76o,0.353233,0.32850669,40,35.50295857988166
84s,0.353227,0.32850111,40,34.9112426035503
T4s,0.352937,0.32823141,40,34.319526627218934
63s,0.352033,0.32739069,40,33.72781065088758
J2s,0.349619,0.32514567,40,33.13609467455622
Q7o,0.348976,0.32454768,40,32.544378698224854
52s,0.348526,0.32412917999999996,40,31.952662721893493
65o,0.348134,0.32376462,40,31.360946745562128
86o,0.347646,0.32331077999999996,40,30.76923076923077
T3s,0.347071,0.32277603,40,30.17751479289941
T7o,0.34633,0.3220869,40,29.585798816568047
94s,0.345203,0.32103878999999996,40,28.994082840236686
Q6o,0.344748,0.32061564,40,28.402366863905325
73s,0.344217,0.32012180999999995,40,27.810650887573964
54o,0.343951,0.31987443,40,27.218934911242602
Q5o,0.34355,0.3195015,40,26.627218934911244
T2s,0.343418,0.31937874,40,26.035502958579883
J7o,0.342408,0.31843943999999996,40,25.443786982248522
93s,0.342337,0.31837340999999997,40,24.85207100591716
42s,0.341183,0.31730019,40,24.2603550295858
75o,0.340989,0.31711976999999997,40,23.668639053254438
96o,0.33933,0.3155769,40,23.076923076923077
92s,0.338637,0.31493241,40,22.485207100591715
83s,0.338018,0.31435673999999997,40,21.893491124260358
62s,0.336397,0.31284921,40,21.301775147928996
Q4o,0.335866,0.31235537999999996,40,20.710059171597635
82s,0.335478,0.31199454,40,20.118343195266274
32s,0.334905,0.31146165,40,19.526627218934912
85o,0.334852,0.31141235999999994,40,18.93491124260355
64o,0.332054,0.30881021999999997,40,18.34319526627219
T6o,0.332048,0.30880463999999996,40,17.75147928994083
72s,0.330567,0.30742730999999995,40,17.159763313609467
Q3o,0.329417,0.30635781,40,16.56804733727811
J5o,0.328436,0.30544548,40,15.976331360946746
J6o,0.328339,0.30535526999999996,40,15.384615384615385
53o,0.326355,0.30351015,40,14.792899408284024
95o,0.325295,0.30252435,40,14.201183431952662
Q2o,0.325127,0.30236810999999997,40,13.609467455621301
74o,0.324373,0.30166689,40,13.017751479289942
J4o,0.322344,0.29977992,40,12.42603550295858
43o,0.319672,0.29729496,40,11.834319526627219
T5o,0.318975,0.29664675,40,11.242603550295858
84o,0.316938,0.29475234,40,10.650887573964498
T4o,0.316716,0.29454588,40,10.059171597633137
J3o,0.315888,0.29377583999999995,40,9.467455621301776
63o,0.313501,0.29155592999999996,40,8.875739644970414
J2o,0.311003,0.28923278999999996,40,8.284023668639055
52o,0.310414,0.28868502,40,7.6923076923076925
T3o,0.310284,0.28856412,40,7.100591715976331
94o,0.308357,0.28677200999999997,40,6.508875739644971
73o,0.307734,0.28619262,40,5.9171597633136095
T2o,0.305588,0.28419684,40,5.325443786982249
93o,0.304705,0.28337565,40,4.733727810650888
42o,0.304509,0.28319336999999994,40,4.142011834319527
92o,0.301781,0.28065633,40,3.5502958579881656
83o,0.2995,0.278535,40,2.9585798816568047
82o,0.29907,0.27813509999999997,40,2.366863905325444
62o,0.298644,0.27773892,40,1.7751479289940828
32o,0.297508,0.27668244,40,1.183431952662722
72o,0.292138,0.27168834,40,0.591715976331361
