Hand,Equity,Rake_Adj_Equity,VPIP,PR
AA,0.854565,0.79474545,60,100.0
KK,0.803872,0.74760096,60,99.40828402366864
QQ,0.755662,0.7027656599999998,60,98.81656804733728
JJ,0.7171,0.6669029999999999,60,98.22485207100591
TT,0.68572,0.6377195999999999,60,97.63313609467455
AKs,0.672801,0.6257049299999999,60,97.0414201183432
AKo,0.655511,0.6096252299999999,60,96.44970414201184
AQs,0.65404,0.6082571999999999,60,95.85798816568047
99,0.649655,0.60417915,60,95.26627218934911
AQo,0.637449,0.59282757,60,94.67455621301775
AJs,0.634623,0.59019939,60,94.0828402366864
ATs,0.621132,0.57765276,60,93.49112426035504
88,0.619094,0.57575742,60,92.89940828402366
AJo,0.615105,0.57204765,60,92.3076923076923
ATo,0.601605,0.5594926499999999,60,91.71597633136095
KQs,0.59931,0.5573583,60,91.12426035502959
A9s,0.596029,0.55430697,60,90.53254437869822
77,0.591579,0.5501684699999999,60,89.94082840236686
A8s,0.582122,0.54137346,60,89.3491124260355
KJs,0.580802,0.54014586,60,88.75739644970415
KQo,0.576343,0.5359989900000001,60,88.16568047337277
A9o,0.572226,0.5321701799999999,60,87.57396449704143
KTs,0.567545,0.5278168499999999,60,86.98224852071006
66,0.567438,0.5277173399999999,60,86.3905325443787
A7s,0.567379,0.5276624699999999,60,85.79881656804734
A8o,0.559782,0.52059726,60,85.20710059171599
KJo,0.55738,0.5183633999999999,60,84.61538461538461
A6s,0.550467,0.51193431,60,84.02366863905326
A5s,0.549646,0.5111707799999999,60,83.4319526627219
55,0.546225,0.50798925,60,82.84023668639054
A7o,0.544533,0.50641569,60,82.24852071005917
KTo,0.543723,0.5056623899999999,60,81.65680473372781
K9s,0.541395,0.50349735,60,81.06508875739645
A4s,0.540797,0.5029412099999999,60,80.4733727810651
A3s,0.536294,0.49875342,60,79.88165680473372
QJs,0.533905,0.49653164999999994,60,79.28994082840237
A2s,0.527774,0.4908298199999999,60,78.69822485207101
A6o,0.526851,0.48997142999999993,60,78.10650887573965
A5o,0.524758,0.4880249399999999,60,77.51479289940828
44,0.523842,0.48717306,60,76.92307692307693
QTs,0.518984,0.48265512,60,76.33136094674556
K8s,0.518982,0.48265326000000003,60,75.7396449704142
A4o,0.516256,0.48011808,60,75.14792899408283
K9o,0.515727,0.47962611,60,74.55621301775149
A3o,0.509009,0.47337837,60,73.96449704142012
QJo,0.507082,0.47158626,60,73.37278106508876
K7s,0.506654,0.47118822,60,72.7810650887574
33,0.502778,0.4675835399999999,60,72.18934911242604
A2o,0.50192,0.4667856,60,71.59763313609467
Q9s,0.495307,0.46063550999999997,60,71.00591715976331
QTo,0.494551,0.45993243,60,70.41420118343196
K6s,0.493039,0.45852626999999996,60,69.8224852071006
K8o,0.49142,0.4570206,60,69.23076923076923
JTs,0.485299,0.45132806999999997,60,68.63905325443787
K5s,0.48217,0.44841809999999993,60,68.04733727810651
22,0.480438,0.44680733999999994,60,67.45562130177515
K7o,0.478789,0.44527377,60,66.86390532544378
K4s,0.475643,0.44234798999999997,60,66.27218934911244
Q8s,0.472427,0.43935710999999994,60,65.68047337278107
K3s,0.468985,0.43615604999999996,60,65.08875739644971
Q9o,0.466913,0.43422909,60,64.49704142011834
K6o,0.463035,0.43062254999999994,60,63.905325443786985
K2s,0.461301,0.42900993,60,63.31360946745562
J9s,0.460685,0.42843705,60,62.721893491124256
JTo,0.456633,0.42466868999999996,60,62.1301775147929
K5o,0.451894,0.42026142,60,61.53846153846154
Q7s,0.450057,0.41855300999999995,60,60.946745562130175
T9s,0.446554,0.41529521999999996,60,60.35502958579882
K4o,0.443819,0.41275167,60,59.76331360946746
Q8o,0.442835,0.41183654999999997,60,59.171597633136095
Q6s,0.440048,0.40924464,60,58.57988165680473
J8s,0.439166,0.40842438,60,57.98816568047337
K3o,0.436312,0.40577015999999994,60,57.396449704142015
Q5s,0.430021,0.39991952999999997,60,56.80473372781065
K2o,0.429977,0.39987860999999997,60,56.213017751479285
J9o,0.428636,0.39863148,60,55.62130177514793
T8s,0.425855,0.39604514999999996,60,55.02958579881657
Q4s,0.422733,0.39314169,60,54.437869822485204
Q7o,0.418857,0.38953700999999996,60,53.84615384615385
J7s,0.418834,0.38951561999999995,60,53.25443786982249
98s,0.417979,0.38872047,60,52.662721893491124
Q3s,0.41621,0.3870753,60,52.071005917159766
T9o,0.415648,0.38655264,60,51.4792899408284
Q2s,0.409892,0.38119955999999994,60,50.887573964497044
Q6o,0.407706,0.37916658,60,50.29585798816568
J8o,0.4072,0.378696,60,49.70414201183432
T7s,0.405189,0.37682577,60,49.112426035502956
87s,0.403535,0.37528754999999997,60,48.5207100591716
97s,0.401229,0.37314296999999996,60,47.928994082840234
J6s,0.400942,0.37287606,60,47.337278106508876
76s,0.400068,0.37206323999999996,60,46.74556213017752
J5s,0.398492,0.37059756,60,46.15384615384615
Q5o,0.398134,0.37026462,60,45.562130177514796
65s,0.394768,0.36713424,60,44.97041420118343
86s,0.393375,0.36583874999999993,60,44.37869822485207
T8o,0.392757,0.36526401,60,43.786982248520715
J4s,0.391323,0.36393038999999994,60,43.19526627218935
T6s,0.389774,0.36248981999999996,60,42.60355029585799
96s,0.389617,0.36234381,60,42.01183431952663
Q4o,0.389276,0.36202668,60,41.42011834319527
54s,0.387075,0.35997975,60,40.828402366863905
75s,0.386902,0.35981886,60,40.23668639053255
J7o,0.384542,0.35762405999999997,60,39.64497041420118
J3s,0.383869,0.35699817,60,39.053254437869825
98o,0.383574,0.35672382,60,38.46153846153847
Q3o,0.382487,0.35571291,60,37.8698224852071
J2s,0.379544,0.35297591999999994,60,37.278106508875744
85s,0.378803,0.35228678999999996,60,36.68639053254438
64s,0.378492,0.35199756,60,36.09467455621302
Q2o,0.375794,0.34948841999999997,60,35.50295857988166
95s,0.375478,0.34919453999999994,60,34.9112426035503
T5s,0.375063,0.34880859,60,34.319526627218934
T7o,0.371221,0.34523553,60,33.72781065088758
T4s,0.371073,0.34509788999999996,60,33.13609467455622
53s,0.3708,0.344844,60,32.544378698224854
87o,0.369452,0.34359036,60,31.952662721893493
74s,0.368902,0.34307886,60,31.360946745562128
J6o,0.367195,0.34149134999999997,60,30.76923076923077
97o,0.3663,0.340659,60,30.17751479289941
76o,0.364914,0.33937002,60,29.585798816568047
T3s,0.364579,0.33905846999999995,60,28.994082840236686
43s,0.364204,0.33870972,60,28.402366863905325
84s,0.362689,0.33730076999999997,60,27.810650887573964
T2s,0.361748,0.33642563999999997,60,27.218934911242602
63s,0.361629,0.33631496999999994,60,26.627218934911244
J5o,0.361308,0.33601643999999997,60,26.035502958579883
65o,0.360909,0.33564536999999994,60,25.443786982248522
86o,0.359952,0.33475535999999995,60,24.85207100591716
94s,0.359129,0.33398996999999997,60,24.2603550295858
52s,0.357185,0.33218204999999995,60,23.668639053254438
J4o,0.355559,0.33066987,60,23.076923076923077
T6o,0.355461,0.33057873,60,22.485207100591715
93s,0.355084,0.33022812,60,21.893491124260358
96o,0.354726,0.32989517999999995,60,21.301775147928996
54o,0.353067,0.32835231,60,20.710059171597635
73s,0.351891,0.32725863,60,20.118343195266274
92s,0.350735,0.32618355,60,19.526627218934912
42s,0.350446,0.32591477999999996,60,18.93491124260355
75o,0.349296,0.32484527999999996,60,18.34319526627219
J3o,0.348078,0.32371254,60,17.75147928994083
62s,0.346928,0.32264304,60,17.159763313609467
83s,0.345977,0.32175860999999994,60,16.56804733727811
J2o,0.34499,0.3208407,60,15.976331360946746
85o,0.344775,0.32064075,60,15.384615384615385
82s,0.344685,0.32055705,60,14.792899408284024
64o,0.343587,0.31953591,60,14.201183431952662
