Hand,Equity,Rake_Adj_Equity,VPIP,PR
AA,0.639766,0.5949823799999999,100,100.0
KK,0.582434,0.54166362,100,99.40828402366864
QQ,0.535821,0.49831352999999995,100,98.81656804733728
JJ,0.492167,0.45771531,100,98.22485207100591
TT,0.452201,0.42054693,100,97.63313609467455
AKs,0.415133,0.38607368999999997,100,97.0414201183432
99,0.411149,0.38236856999999996,100,96.44970414201184
AQs,0.400241,0.37222413,100,95.85798816568047
AKo,0.387147,0.36004671,100,95.26627218934911
AJs,0.385103,0.35814578999999996,100,94.67455621301775
KQs,0.382161,0.3554097299999999,100,94.0828402366864
88,0.376727,0.35035610999999994,100,93.49112426035504
ATs,0.374074,0.34788882,100,92.89940828402366
AQo,0.368647,0.34284170999999997,100,92.3076923076923
KJs,0.368527,0.34273011,100,91.71597633136095
QJs,0.358354,0.33326922,100,91.12426035502959
KTs,0.357379,0.33236246999999997,100,90.53254437869822
AJo,0.353967,0.32918930999999996,100,89.94082840236686
KQo,0.353458,0.32871594,100,89.3491124260355
QTs,0.34654,0.3222822,100,88.75739644970415
A9s,0.345611,0.32141822999999997,100,88.16568047337277
77,0.344161,0.32006973,100,87.57396449704143
ATo,0.341584,0.31767312,100,86.98224852071006
JTs,0.339078,0.31534253999999995,100,86.3905325443787
KJo,0.339037,0.31530441,100,85.79881656804734
A8s,0.336072,0.31254696,100,85.20710059171599
K9s,0.330767,0.30761331,100,84.61538461538461
QJo,0.327912,0.30495816,100,84.02366863905326
KTo,0.325637,0.30284241,100,83.4319526627219
A7s,0.325501,0.30271592999999997,100,82.84023668639054
Q9s,0.319862,0.29747165999999997,100,82.24852071005917
A5s,0.318094,0.29582741999999995,100,81.65680473372781
66,0.315437,0.29335641,100,81.06508875739645
J9s,0.314837,0.29279840999999995,100,80.4733727810651
QTo,0.314753,0.29272029,100,79.88165680473372
A6s,0.313792,0.29182656,100,79.28994082840237
A9o,0.311777,0.28995261,100,78.69822485207101
T9s,0.311042,0.28926905999999997,100,78.10650887573965
A4s,0.309661,0.28798473,100,77.51479289940828
K8s,0.308876,0.28725468,100,76.92307692307693
JTo,0.308487,0.28689291,100,76.33136094674556
A3s,0.30362,0.28236659999999997,100,75.7396449704142
A8o,0.300819,0.27976166999999996,100,75.14792899408283
K7s,0.299472,0.27850895999999997,100,74.55621301775149
Q8s,0.298626,0.27772218,100,73.96449704142012
K9o,0.296021,0.27529952999999996,100,73.37278106508876
A2s,0.295925,0.27521025,100,72.7810650887574
J8s,0.292348,0.27188364,100,72.18934911242604
K6s,0.291454,0.27105221999999995,100,71.59763313609467
T8s,0.2912,0.270816,100,71.00591715976331
55,0.289772,0.26948795999999997,100,70.41420118343196
A7o,0.287932,0.26777676,100,69.8224852071006
98s,0.286024,0.26600231999999996,100,69.23076923076923
Q9o,0.285441,0.26546012999999996,100,68.63905325443787
K5s,0.284102,0.26421486,100,68.04733727810651
A5o,0.280758,0.26110494,100,67.45562130177515
J9o,0.279989,0.26038976999999996,100,66.86390532544378
Q7s,0.278679,0.25917147,100,66.27218934911244
T9o,0.278381,0.25889432999999995,100,65.68047337278107
A6o,0.276778,0.25740354,100,65.08875739644971
K4s,0.276549,0.25719056999999995,100,64.49704142011834
A4o,0.273396,0.25425827999999995,100,63.905325443786985
K8o,0.272511,0.25343523,100,63.31360946745562
J7s,0.271466,0.25246337999999996,100,62.721893491124256
T7s,0.27121,0.2522253,100,62.1301775147929
K3s,0.270275,0.25135575,100,61.53846153846154
Q6s,0.270177,0.25126461,100,60.946745562130175
87s,0.267607,0.24887450999999997,100,60.35502958579882
97s,0.26691,0.24822629999999996,100,59.76331360946746
A3o,0.265172,0.24660996,100,59.171597633136095
44,0.264662,0.24613565999999998,100,58.57988165680473
Q8o,0.263932,0.24545676,100,57.98816568047337
K2s,0.263691,0.24523262999999998,100,57.396449704142015
Q5s,0.263466,0.24502337999999996,100,56.80473372781065
K7o,0.262278,0.24391854,100,56.213017751479285
Q4s,0.25733,0.2393169,100,55.62130177514793
J8o,0.257222,0.23921646,100,55.02958579881657
A2o,0.256259,0.23832087,100,54.437869822485204
T8o,0.255676,0.23777868,100,53.84615384615385
K6o,0.254394,0.23658642,100,53.25443786982249
J6s,0.254126,0.23633718,100,52.662721893491124
98o,0.252067,0.23442230999999997,100,52.071005917159766
T6s,0.251643,0.23402799,100,51.4792899408284
76s,0.251407,0.23380850999999997,100,50.887573964497044
Q3s,0.25063,0.2330859,100,50.29585798816568
86s,0.250454,0.23292221999999999,100,49.70414201183432
96s,0.25015,0.23263949999999997,100,49.112426035502956
J5s,0.247543,0.23021499,100,48.5207100591716
K5o,0.245505,0.22831964999999999,100,47.928994082840234
Q2s,0.244378,0.22727154,100,47.337278106508876
33,0.242301,0.22533992999999997,100,46.74556213017752
J4s,0.241393,0.22449549,100,46.15384615384615
Q7o,0.241232,0.22434575999999998,100,45.562130177514796
65s,0.238232,0.22155576,100,44.97041420118343
K4o,0.236324,0.21978132,100,44.37869822485207
75s,0.236083,0.21955718999999999,100,43.786982248520715
J3s,0.234984,0.21853511999999997,100,43.19526627218935
J7o,0.234724,0.21829331999999999,100,42.60355029585799
T7o,0.234205,0.21781065,100,42.01183431952663
T5s,0.233948,0.21757163999999998,100,41.42011834319527
85s,0.233805,0.21743865,100,40.828402366863905
Q6o,0.23343,0.21708989999999997,100,40.23668639053255
97o,0.232038,0.21579533999999997,100,39.64497041420118
87o,0.231912,0.21567815999999998,100,39.053254437869825
95s,0.23147,0.2152671,100,38.46153846153847
K3o,0.230686,0.21453798,100,37.8698224852071
T4s,0.22911,0.2130723,100,37.278106508875744
J2s,0.228299,0.21231807,100,36.68639053254438
54s,0.22758,0.2116494,100,36.09467455621302
Q5o,0.225856,0.21004608,100,35.50295857988166
64s,0.223501,0.20785593,100,34.9112426035503
T3s,0.223463,0.20782058999999997,100,34.319526627218934
K2o,0.222777,0.20718261,100,33.72781065088758
22,0.221482,0.20597826,100,33.13609467455622
74s,0.218942,0.20361606,100,32.544378698224854
Q4o,0.217575,0.20234475,100,31.952662721893493
