Hand,Equity,Rake_Adj_Equity,VPIP,PR
AA,0.654641,0.60881613,50,100.0
KK,0.549375,0.5109187499999999,50,99.40828402366864
QQ,0.473702,0.44054286,50,98.81656804733728
JJ,0.42075,0.39129749999999996,50,98.22485207100591
TT,0.381482,0.35477825999999996,50,97.63313609467455
AKs,0.379931,0.35333583,50,97.0414201183432
AQs,0.359377,0.33422061,50,96.44970414201184
AKo,0.347825,0.32347725,50,95.85798816568047
99,0.346076,0.32185068,50,95.26627218934911
AJs,0.340296,0.31647527999999997,50,94.67455621301775
ATs,0.324342,0.30163806,50,94.0828402366864
AQo,0.323966,0.30128837999999997,50,93.49112426035504
88,0.318001,0.29574092999999996,50,92.89940828402366
KQs,0.310248,0.28853064,50,92.3076923076923
AJo,0.303371,0.28213503,50,91.71597633136095
KJs,0.299284,0.27833411999999996,50,91.12426035502959
77,0.298007,0.27714651,50,90.53254437869822
A9s,0.29686,0.2760798,50,89.94082840236686
ATo,0.288024,0.26786232,50,89.3491124260355
KTs,0.286891,0.26680863,50,88.75739644970415
QJs,0.285042,0.26508906,50,88.16568047337277
A8s,0.282231,0.26247483,50,87.57396449704143
66,0.281618,0.26190473999999997,50,86.98224852071006
QTs,0.275441,0.25616013,50,86.3905325443787
KQo,0.275011,0.25576023,50,85.79881656804734
JTs,0.274702,0.25547285999999997,50,85.20710059171599
A7s,0.270966,0.25199837999999997,50,84.61538461538461
55,0.26835,0.24956549999999997,50,84.02366863905326
A5s,0.267847,0.24909770999999997,50,83.4319526627219
KJo,0.261377,0.24308061,50,82.84023668639054
A6s,0.261165,0.24288344999999997,50,82.24852071005917
K9s,0.260924,0.24265931999999998,50,81.65680473372781
A4s,0.259863,0.24167259,50,81.06508875739645
T9s,0.258889,0.24076676999999996,50,80.4733727810651
A9o,0.258286,0.24020597999999999,50,79.88165680473372
J9s,0.254875,0.23703375,50,79.28994082840237
Q9s,0.25389,0.23611769999999999,50,78.69822485207101
A3s,0.253135,0.23541554999999997,50,78.10650887573965
44,0.252626,0.23494218,50,77.51479289940828
QJo,0.249689,0.23221076999999998,50,76.92307692307693
KTo,0.249116,0.23167787999999997,50,76.33136094674556
A2s,0.247521,0.23019452999999998,50,75.7396449704142
98s,0.244848,0.22770864,50,75.14792899408283
T8s,0.242945,0.22593884999999997,50,74.55621301775149
87s,0.242706,0.22571658,50,73.96449704142012
