Hand,Equity,Rake_Adj_Equity,VPIP,PR
AA,0.851748,0.7921256399999999,90,100.0
KK,0.819954,0.7625572199999999,90,99.40828402366864
QQ,0.790974,0.7356058199999999,90,98.81656804733728
JJ,0.762825,0.70942725,90,98.22485207100591
TT,0.734239,0.68284227,90,97.63313609467455
99,0.699172,0.65022996,90,97.0414201183432
AKs,0.672048,0.6250046399999999,90,96.44970414201184
88,0.667089,0.62039277,90,95.85798816568047
AQs,0.660982,0.6147132599999999,90,95.26627218934911
AKo,0.652326,0.60666318,90,94.67455621301775
AJs,0.651091,0.6055146299999999,90,94.0828402366864
AQo,0.642168,0.59721624,90,93.49112426035504
ATs,0.641323,0.59643039,90,92.89940828402366
77,0.636804,0.59222772,90,92.3076923076923
AJo,0.630421,0.58629153,90,91.71597633136095
KQs,0.627363,0.58344759,90,91.12426035502959
ATo,0.621799,0.57827307,90,90.53254437869822
A9s,0.620795,0.5773393499999999,90,89.94082840236686
KJs,0.618287,0.57500691,90,89.3491124260355
A8s,0.609825,0.5671372499999999,90,88.75739644970415
KTs,0.609003,0.56637279,90,88.16568047337277
KQo,0.607969,0.56541117,90,87.57396449704143
66,0.605934,0.56351862,90,86.98224852071006
A9o,0.599957,0.55796001,90,86.3905325443787
A7s,0.59871,0.5568002999999999,90,85.79881656804734
KJo,0.598086,0.55621998,90,85.20710059171599
QJs,0.589865,0.5485744499999999,90,84.61538461538461
K9s,0.589161,0.54791973,90,84.02366863905326
A8o,0.588531,0.54733383,90,83.4319526627219
A6s,0.587619,0.5464856699999999,90,82.84023668639054
A5s,0.587311,0.54619923,90,82.24852071005917
KTo,0.586961,0.54587373,90,81.65680473372781
QTs,0.580326,0.53970318,90,81.06508875739645
55,0.577477,0.53705361,90,80.4733727810651
A4s,0.576396,0.5360482799999999,90,79.88165680473372
A7o,0.576079,0.53575347,90,79.28994082840237
K8s,0.568764,0.52895052,90,78.69822485207101
A3s,0.568677,0.52886961,90,78.10650887573965
QJo,0.568324,0.52854132,90,77.51479289940828
K9o,0.566882,0.52720026,90,76.92307692307693
A6o,0.564282,0.52478226,90,76.33136094674556
A5o,0.563562,0.52411266,90,75.7396449704142
K7s,0.56105,0.5217765,90,75.14792899408283
A2s,0.560654,0.52140822,90,74.55621301775149
Q9s,0.560281,0.52106133,90,73.96449704142012
JTs,0.559478,0.52031454,90,73.37278106508876
QTo,0.559154,0.52001322,90,72.7810650887574
A4o,0.553246,0.51451878,90,72.18934911242604
K6s,0.550457,0.5119250099999999,90,71.59763313609467
44,0.549049,0.51061557,90,71.00591715976331
K8o,0.544564,0.5064445200000001,90,70.41420118343196
A3o,0.543608,0.50555544,90,69.8224852071006
Q8s,0.540991,0.50312163,90,69.23076923076923
K5s,0.540805,0.50294865,90,68.63905325443787
Q9o,0.53725,0.4996425,90,68.04733727810651
A2o,0.53604,0.49851719999999994,90,67.45562130177515
J9s,0.536033,0.4985106899999999,90,66.86390532544378
K7o,0.535386,0.49790898,90,66.27218934911244
JTo,0.534004,0.49662372,90,65.68047337278107
K4s,0.531109,0.49393137000000004,90,65.08875739644971
K6o,0.524181,0.48748832999999997,90,64.49704142011834
Q7s,0.523935,0.48725955,90,63.905325443786985
K3s,0.522584,0.48600312,90,63.31360946745562
33,0.521694,0.48517541999999997,90,62.721893491124256
J8s,0.517329,0.48111597,90,62.1301775147929
T9s,0.51701,0.48081929999999995,90,61.53846153846154
Q8o,0.515712,0.4796121599999999,90,60.946745562130175
Q6s,0.515298,0.47922714,90,60.35502958579882
K2s,0.51521,0.47914529999999994,90,59.76331360946746
K5o,0.514776,0.47874168,90,59.171597633136095
J9o,0.510531,0.4747938299999999,90,58.57988165680473
Q5s,0.505923,0.47050839,90,57.98816568047337
K4o,0.50523,0.46986389999999995,90,57.396449704142015
