Hand,Equity,Rake_Adj_Equity,VPIP,PR
AA,0.647661,0.60232473,60,100.0
KK,0.557411,0.51839223,60,99.40828402366864
QQ,0.483585,0.44973404999999994,60,98.81656804733728
JJ,0.43017,0.40005809999999997,60,98.22485207100591
AKs,0.390936,0.36357048,60,97.63313609467455
TT,0.389344,0.36208992,60,97.0414201183432
AQs,0.366659,0.34099287,60,96.44970414201184
AKo,0.361487,0.33618291,60,95.85798816568047
99,0.355513,0.33062709,60,95.26627218934911
AJs,0.351002,0.32643185999999996,60,94.67455621301775
ATs,0.335788,0.31228283999999995,60,94.0828402366864
AQo,0.333959,0.31058187,60,93.49112426035504
KQs,0.326583,0.30372219,60,92.89940828402366
88,0.326181,0.30334833,60,92.3076923076923
AJo,0.316737,0.29456540999999997,60,91.71597633136095
KJs,0.313981,0.29200233,60,91.12426035502959
A9s,0.311068,0.28929324,60,90.53254437869822
77,0.302554,0.28137522,60,89.94082840236686
KTs,0.301127,0.28004810999999996,60,89.3491124260355
ATo,0.300778,0.27972354,60,88.75739644970415
A8s,0.29744,0.27661919999999995,60,88.16568047337277
QJs,0.295293,0.27462249,60,87.57396449704143
KQo,0.292217,0.27176181,60,86.98224852071006
66,0.287474,0.26735082,60,86.3905325443787
A7s,0.286605,0.26654265,60,85.79881656804734
QTs,0.285533,0.26554568999999995,60,85.20710059171599
JTs,0.283719,0.26385866999999996,60,84.61538461538461
A5s,0.282522,0.26274546,60,84.02366863905326
KJo,0.277662,0.25822566,60,83.4319526627219
K9s,0.276861,0.25748073,60,82.84023668639054
A6s,0.276376,0.25702968,60,82.24852071005917
A4s,0.27455,0.2553315,60,81.65680473372781
55,0.272327,0.25326411,60,81.06508875739645
A9o,0.272225,0.25316924999999996,60,80.4733727810651
A3s,0.268852,0.25003235999999995,60,79.88165680473372
KTo,0.264741,0.24620913,60,79.28994082840237
T9s,0.264179,0.24568647,60,78.69822485207101
Q9s,0.262991,0.24458162999999997,60,78.10650887573965
J9s,0.262973,0.24456489,60,77.51479289940828
A2s,0.262106,0.24375858,60,76.92307692307693
QJo,0.261392,0.24309456,60,76.33136094674556
A8o,0.259556,0.24138708,60,75.7396449704142
K8s,0.256852,0.23887236,60,75.14792899408283
44,0.255068,0.23721324,60,74.55621301775149
QTo,0.249797,0.23231121,60,73.96449704142012
JTo,0.249469,0.23200616999999998,60,73.37278106508876
K7s,0.249035,0.23160255,60,72.7810650887574
98s,0.248525,0.23112824999999998,60,72.18934911242604
T8s,0.247796,0.23045027999999998,60,71.59763313609467
A7o,0.247271,0.22996202999999998,60,71.00591715976331
J8s,0.246016,0.22879488,60,70.41420118343196
Q8s,0.244176,0.22708367999999998,60,69.8224852071006
A5o,0.243621,0.22656753,60,69.23076923076923
K6s,0.24354,0.2264922,60,68.63905325443787
65s,0.242003,0.22506278999999998,60,68.04733727810651
76s,0.241679,0.22476147,60,67.45562130177515
87s,0.241359,0.22446386999999998,60,66.86390532544378
33,0.239952,0.22315536,60,66.27218934911244
K9o,0.238817,0.22209980999999998,60,65.68047337278107
K5s,0.237328,0.22071504,60,65.08875739644971
A6o,0.23667,0.22010309999999997,60,64.49704142011834
54s,0.236569,0.22000916999999998,60,63.905325443786985
97s,0.236106,0.21957858,60,63.31360946745562
86s,0.234497,0.21808221,60,62.721893491124256
A4o,0.234247,0.21784971,60,62.1301775147929
T7s,0.232617,0.21633381,60,61.53846153846154
J7s,0.230554,0.21441522,60,60.946745562130175
75s,0.230292,0.21417155999999998,60,60.35502958579882
T9o,0.229456,0.21339407999999999,60,59.76331360946746
K4s,0.229346,0.21329178,60,59.171597633136095
22,0.228749,0.21273656999999999,60,58.57988165680473
96s,0.228359,0.21237387,60,57.98816568047337
64s,0.228145,0.21217484999999997,60,57.396449704142015
A3o,0.227793,0.21184748999999997,60,56.80473372781065
