Hand,Equity,Rake_Adj_Equity,VPIP,PR
AA,0.743601,0.69154893,50,100.0
KK,0.649602,0.60412986,50,99.40828402366864
QQ,0.580041,0.53943813,50,98.81656804733728
JJ,0.527309,0.49039737,50,98.22485207100591
AKs,0.492086,0.45763998,50,97.63313609467455
TT,0.488997,0.45476721,50,97.0414201183432
AKo,0.466319,0.43367666999999993,50,96.44970414201184
AQs,0.465092,0.43253556,50,95.85798816568047
99,0.450736,0.41918447999999997,50,95.26627218934911
AJs,0.443948,0.41287164,50,94.67455621301775
AQo,0.437556,0.40692708,50,94.0828402366864
ATs,0.426516,0.39665987999999996,50,93.49112426035504
88,0.419797,0.39041120999999995,50,92.89940828402366
AJo,0.414094,0.38510742,50,92.3076923076923
KQs,0.400406,0.37237758,50,91.71597633136095
A9s,0.397448,0.36962664,50,91.12426035502959
ATo,0.394157,0.36656600999999994,50,90.53254437869822
77,0.391388,0.36399084,50,89.94082840236686
KJs,0.38578,0.35877539999999997,50,89.3491124260355
A8s,0.381475,0.35477175,50,88.75739644970415
66,0.372382,0.34631525999999996,50,88.16568047337277
KTs,0.370037,0.34413441,50,87.57396449704143
KQo,0.369404,0.34354572,50,86.98224852071006
A7s,0.364727,0.33919611,50,86.3905325443787
A9o,0.362985,0.33757604999999996,50,85.79881656804734
QJs,0.355365,0.33048944999999996,50,85.20710059171599
A5s,0.354447,0.32963570999999997,50,84.61538461538461
A6s,0.3525,0.327825,50,84.02366863905326
55,0.352049,0.32740557,50,83.4319526627219
KJo,0.351446,0.32684477999999995,50,82.84023668639054
A8o,0.345494,0.32130942,50,82.24852071005917
A4s,0.345473,0.32128988999999997,50,81.65680473372781
QTs,0.34412,0.32003159999999997,50,81.06508875739645
K9s,0.343168,0.31914623999999997,50,80.4733727810651
A3s,0.3387,0.31499099999999997,50,79.88165680473372
JTs,0.337486,0.31386198,50,79.28994082840237
KTo,0.337259,0.31365086999999997,50,78.69822485207101
44,0.334866,0.31142538,50,78.10650887573965
A2s,0.331746,0.30852377999999997,50,77.51479289940828
A7o,0.33,0.3069,50,76.92307692307693
QJo,0.321758,0.29923493999999995,50,76.33136094674556
K8s,0.320407,0.29797851,50,75.7396449704142
Q9s,0.319892,0.29749956,50,75.14792899408283
T9s,0.31818,0.2959074,50,74.55621301775149
A5o,0.31744,0.29521919999999996,50,73.96449704142012
J9s,0.316845,0.29466584999999995,50,73.37278106508876
A6o,0.316328,0.29418503999999995,50,72.7810650887574
33,0.3136,0.29164799999999996,50,72.18934911242604
QTo,0.309857,0.28816701,50,71.59763313609467
K7s,0.309801,0.28811493,50,71.00591715976331
A4o,0.308527,0.28693010999999996,50,70.41420118343196
K9o,0.306665,0.28519845,50,69.8224852071006
JTo,0.30336,0.2821248,50,69.23076923076923
98s,0.303326,0.28209317999999994,50,68.63905325443787
K6s,0.302472,0.28129896,50,68.04733727810651
T8s,0.302336,0.28117248,50,67.45562130177515
22,0.301892,0.28075955999999996,50,66.86390532544378
A3o,0.300685,0.27963704999999994,50,66.27218934911244
Q8s,0.299324,0.27837132,50,65.68047337278107
87s,0.299298,0.27834714,50,65.08875739644971
J8s,0.296824,0.27604631999999996,50,64.49704142011834
76s,0.296371,0.27562503,50,63.905325443786985
A2o,0.293833,0.27326469,50,63.31360946745562
97s,0.292901,0.27239793,50,62.721893491124256
K5s,0.292878,0.27237654,50,62.1301775147929
65s,0.291841,0.27141213,50,61.53846153846154
T7s,0.289763,0.26947959,50,60.946745562130175
54s,0.286748,0.26667564,50,60.35502958579882
86s,0.286238,0.26620133999999995,50,59.76331360946746
K4s,0.286053,0.26602929,50,59.171597633136095
Q9o,0.284506,0.26459057999999996,50,58.57988165680473
75s,0.283843,0.26397399,50,57.98816568047337
T9o,0.283305,0.26347364999999995,50,57.396449704142015
K8o,0.281866,0.26213538,50,56.80473372781065
Q7s,0.281454,0.26175222,50,56.213017751479285
J7s,0.281231,0.26154483,50,55.62130177514793
K3s,0.279577,0.26000661,50,55.02958579881657
J9o,0.278891,0.25936863,50,54.437869822485204
96s,0.27861,0.2591073,50,53.84615384615385
Q6s,0.27787,0.2584191,50,53.25443786982249
64s,0.276516,0.25715987999999995,50,52.662721893491124
T6s,0.275329,0.25605596999999997,50,52.071005917159766
K2s,0.27442,0.25521059999999995,50,51.4792899408284
85s,0.274013,0.25483209,50,50.887573964497044
K7o,0.272133,0.25308369,50,50.29585798816568
Q5s,0.271876,0.25284468,50,49.70414201183432
53s,0.268572,0.24977195999999996,50,49.112426035502956
J6s,0.268034,0.24927161999999997,50,48.5207100591716
J5s,0.2679,0.249147,50,47.928994082840234
74s,0.267069,0.24837416999999998,50,47.337278106508876
98o,0.266995,0.24830534999999998,50,46.74556213017752
95s,0.266449,0.24779756999999997,50,46.15384615384615
T8o,0.265608,0.24701544,50,45.562130177514796
Q4s,0.264579,0.24605847,50,44.97041420118343
43s,0.263877,0.24540560999999997,50,44.37869822485207
87o,0.263578,0.24512753999999998,50,43.786982248520715
K6o,0.263368,0.24493223999999997,50,43.19526627218935
Q8o,0.262517,0.24414080999999999,50,42.60355029585799
T5s,0.262106,0.24375858,50,42.01183431952663
J4s,0.261182,0.24289926,50,41.42011834319527
J8o,0.261041,0.24276813,50,40.828402366863905
76o,0.260645,0.24239985,50,40.23668639053255
63s,0.259833,0.24164468999999997,50,39.64497041420118
T4s,0.259456,0.24129408,50,39.053254437869825
Q3s,0.258735,0.24062354999999996,50,38.46153846153847
84s,0.258105,0.24003764999999996,50,37.8698224852071
Q2s,0.25744,0.2394192,50,37.278106508875744
52s,0.257187,0.23918390999999997,50,36.68639053254438
97o,0.256875,0.23889375000000002,50,36.09467455621302
65o,0.256415,0.23846594999999998,50,35.50295857988166
J3s,0.255676,0.23777868,50,34.9112426035503
K5o,0.254202,0.23640785999999997,50,34.319526627218934
J2s,0.254138,0.23634833999999996,50,33.72781065088758
T3s,0.253304,0.23557271999999996,50,33.13609467455622
T7o,0.252479,0.23480547,50,32.544378698224854
T2s,0.251769,0.23414517,50,31.952662721893493
42s,0.251228,0.23364204,50,31.360946745562128
86o,0.250539,0.23300126999999998,50,30.76923076923077
54o,0.250381,0.23285433,50,30.17751479289941
94s,0.250311,0.23278922999999999,50,29.585798816568047
73s,0.249733,0.23225168999999998,50,28.994082840236686
75o,0.247913,0.23055908999999997,50,28.402366863905325
62s,0.24727,0.22996109999999997,50,27.810650887573964
93s,0.245723,0.22852239,50,27.218934911242602
K4o,0.2454,0.22822199999999998,50,26.627218934911244
92s,0.245375,0.22819875,50,26.035502958579883
32s,0.245132,0.22797275999999997,50,25.443786982248522
J7o,0.244417,0.22730780999999997,50,24.85207100591716
Q7o,0.24343,0.2263899,50,24.2603550295858
96o,0.243365,0.22632945,50,23.668639053254438
82s,0.241904,0.22497071999999999,50,23.076923076923077
83s,0.240389,0.22356176999999997,50,22.485207100591715
64o,0.23993,0.2231349,50,21.893491124260358
K3o,0.238718,0.22200774,50,21.301775147928996
72s,0.238657,0.22195101,50,20.710059171597635
T6o,0.238158,0.22148694,50,20.118343195266274
