Hand,Equity,Rake_Adj_Equity,VPIP,PR
AA,0.638232,0.59355576,95,100.0
KK,0.579309,0.5387573699999999,95,99.40828402366864
QQ,0.528671,0.49166403,95,98.81656804733728
JJ,0.482686,0.44889798,95,98.22485207100591
TT,0.440632,0.40978776,95,97.63313609467455
AKs,0.412114,0.38326601999999993,95,97.0414201183432
99,0.399256,0.37130808,95,96.44970414201184
AQs,0.395852,0.36814235999999995,95,95.85798816568047
AKo,0.383611,0.35675822999999995,95,95.26627218934911
AJs,0.380453,0.35382128999999996,95,94.67455621301775
KQs,0.375145,0.34888484999999997,95,94.0828402366864
ATs,0.366833,0.34115469,95,93.49112426035504
AQo,0.364981,0.33943233,95,92.89940828402366
88,0.362827,0.33742911,95,92.3076923076923
KJs,0.361103,0.33582578999999996,95,91.71597633136095
AJo,0.349656,0.32518008,95,91.12426035502959
KTs,0.348755,0.32434214999999994,95,90.53254437869822
QJs,0.348453,0.32406129,95,89.94082840236686
KQo,0.344844,0.32070491999999995,95,89.3491124260355
A9s,0.340263,0.31644458999999997,95,88.75739644970415
QTs,0.335751,0.31224843,95,88.16568047337277
ATo,0.335614,0.31212102,95,87.57396449704143
77,0.332866,0.30956538,95,86.98224852071006
JTs,0.329385,0.30632804999999996,95,86.3905325443787
A8s,0.32894,0.30591419999999997,95,85.79881656804734
KJo,0.327955,0.30499814999999997,95,85.20710059171599
K9s,0.321848,0.29931864,95,84.61538461538461
A7s,0.318765,0.29645145,95,84.02366863905326
QJo,0.316356,0.29421108,95,83.4319526627219
KTo,0.314453,0.29244128999999996,95,82.84023668639054
A5s,0.312508,0.29063244,95,82.24852071005917
A6s,0.309342,0.28768805999999997,95,81.65680473372781
Q9s,0.308943,0.28731699,95,81.06508875739645
A4s,0.307079,0.28558346999999995,95,80.4733727810651
66,0.306411,0.28496223,95,79.88165680473372
A9o,0.304586,0.28326498,95,79.28994082840237
QTo,0.302735,0.28154355,95,78.69822485207101
J9s,0.302027,0.28088511,95,78.10650887573965
T9s,0.2994,0.27844199999999997,95,77.51479289940828
K8s,0.299332,0.27837875999999995,95,76.92307692307693
A3s,0.297758,0.27691494,95,76.33136094674556
JTo,0.295493,0.27480848999999996,95,75.7396449704142
A8o,0.293854,0.27328421999999997,95,75.14792899408283
A2s,0.292132,0.27168275999999997,95,74.55621301775149
K7s,0.291494,0.27108941999999997,95,73.96449704142012
Q8s,0.289084,0.26884811999999997,95,73.37278106508876
K9o,0.28582,0.2658126,95,72.7810650887574
K6s,0.284988,0.26503884,95,72.18934911242604
55,0.282251,0.26249342999999997,95,71.59763313609467
A7o,0.281482,0.26177826,95,71.00591715976331
J8s,0.281423,0.26172338999999994,95,70.41420118343196
T8s,0.278796,0.25928028,95,69.8224852071006
K5s,0.276936,0.25755047999999997,95,69.23076923076923
A5o,0.275456,0.25617407999999997,95,68.63905325443787
98s,0.274799,0.25556307,95,68.04733727810651
Q9o,0.273797,0.25463121,95,67.45562130177515
