Hand,Equity,Rake_Adj_Equity,VPIP,PR
AA,0.73506,0.6836058,100,100.0
KK,0.689444,0.6411829199999999,100,99.40828402366864
QQ,0.649968,0.6044702399999999,100,98.81656804733728
JJ,0.61156,0.5687508,100,98.22485207100591
TT,0.577133,0.5367336899999999,100,97.63313609467455
99,0.537383,0.49976619,100,97.0414201183432
AKs,0.507113,0.47161509,100,96.44970414201184
88,0.500973,0.46590488999999996,100,95.85798816568047
AQs,0.494351,0.45974642999999993,100,95.26627218934911
AKo,0.484042,0.45015905999999994,100,94.67455621301775
AJs,0.482239,0.44848226999999996,100,94.0828402366864
KQs,0.472017,0.43897580999999997,100,93.49112426035504
ATs,0.470578,0.43763754,100,92.89940828402366
AQo,0.46882,0.43600259999999996,100,92.3076923076923
77,0.46674,0.43406819999999996,100,91.71597633136095
KJs,0.46039,0.4281627,100,91.12426035502959
AJo,0.454658,0.42283193999999996,100,90.53254437869822
KTs,0.449249,0.41780156999999996,100,89.94082840236686
A9s,0.445785,0.41458005,100,89.3491124260355
KQo,0.444336,0.41323247999999996,100,88.75739644970415
ATo,0.4439,0.412827,100,88.16568047337277
QJs,0.443697,0.41263821,100,87.57396449704143
A8s,0.435536,0.40504847999999993,100,86.98224852071006
66,0.434013,0.40363208999999994,100,86.3905325443787
KJo,0.43224,0.4019832,100,85.79881656804734
QTs,0.431655,0.40143914999999997,100,85.20710059171599
A7s,0.424499,0.39478407,100,84.61538461538461
K9s,0.42346,0.3938178,100,84.02366863905326
JTs,0.419962,0.39056465999999995,100,83.4319526627219
KTo,0.419613,0.39024009,100,82.84023668639054
A9o,0.416283,0.38714318999999997,100,82.24852071005917
A5s,0.414689,0.38566076999999993,100,81.65680473372781
QJo,0.414494,0.38547941999999996,100,81.06508875739645
A6s,0.41219,0.3833367,100,80.4733727810651
Q9s,0.407442,0.37892106,100,79.88165680473372
A4s,0.405541,0.37715312999999995,100,79.28994082840237
A8o,0.405427,0.37704710999999996,100,78.69822485207101
QTo,0.402911,0.37470723,100,78.10650887573965
K8s,0.401863,0.37373259,100,77.51479289940828
55,0.400932,0.37286675999999996,100,76.92307692307693
A3s,0.396481,0.36872732999999996,100,76.33136094674556
J9s,0.395773,0.36806889,100,75.7396449704142
K7s,0.393532,0.36598475999999996,100,75.14792899408283
A7o,0.392984,0.36547512,100,74.55621301775149
K9o,0.392935,0.36542954999999994,100,73.96449704142012
JTo,0.391957,0.36452000999999995,100,73.37278106508876
T9s,0.388982,0.36175325999999997,100,72.7810650887574
A2s,0.388892,0.36166956,100,72.18934911242604
Q8s,0.385949,0.35893256999999995,100,71.59763313609467
K6s,0.38439,0.3574827,100,71.00591715976331
A5o,0.382579,0.35579847,100,70.41420118343196
A6o,0.379674,0.35309682,100,69.8224852071006
Q9o,0.377072,0.35067696,100,69.23076923076923
J8s,0.375293,0.34902248999999996,100,68.63905325443787
K5s,0.37426,0.3480618,100,68.04733727810651
A4o,0.372999,0.34688907,100,67.45562130177515
K8o,0.369829,0.34394097,100,66.86390532544378
44,0.368935,0.34310955,100,66.27218934911244
T8s,0.367794,0.34204841999999996,100,65.68047337278107
K4s,0.367437,0.34171640999999997,100,65.08875739644971
Q7s,0.366815,0.34113794999999997,100,64.49704142011834
J9o,0.364802,0.33926586,100,63.905325443786985
A3o,0.363251,0.33782343,100,63.31360946745562
98s,0.361655,0.33633915,100,62.721893491124256
K7o,0.360361,0.33513572999999997,100,62.1301775147929
K3s,0.358022,0.33296045999999996,100,61.53846153846154
Q6s,0.357333,0.33231969,100,60.946745562130175
T9o,0.356822,0.33184445999999995,100,60.35502958579882
Q8o,0.355575,0.33068474999999997,100,59.76331360946746
J7s,0.353521,0.32877452999999995,100,59.171597633136095
A2o,0.353417,0.32867780999999996,100,58.57988165680473
Q5s,0.351379,0.32678247,100,57.98816568047337
K2s,0.350731,0.32617983,100,57.396449704142015
K6o,0.349829,0.32534096999999995,100,56.80473372781065
T7s,0.347323,0.32301039,100,56.213017751479285
J8o,0.34337,0.3193341,100,55.62130177514793
97s,0.342686,0.31869798,100,55.02958579881657
K5o,0.341064,0.31718951999999995,100,54.437869822485204
Q4s,0.340907,0.31704351,100,53.84615384615385
87s,0.338076,0.31441067999999994,100,53.25443786982249
33,0.337873,0.31422188999999995,100,52.662721893491124
T8o,0.336582,0.31302125999999997,100,52.071005917159766
J6s,0.335564,0.31207451999999997,100,51.4792899408284
Q3s,0.332663,0.30937658999999995,100,50.887573964497044
Q7o,0.332476,0.30920267999999995,100,50.29585798816568
K4o,0.330573,0.30743288999999996,100,49.70414201183432
T6s,0.329332,0.30627876,100,49.112426035502956
J5s,0.328594,0.30559242,100,48.5207100591716
98o,0.327233,0.30432668999999996,100,47.928994082840234
Q2s,0.326544,0.30368592,100,47.337278106508876
96s,0.323917,0.30124280999999997,100,46.74556213017752
