Hand,Equity,Rake_Adj_Equity,VPIP,PR
AA,0.852779,0.7930844699999999,85,100.0
KK,0.818857,0.7615370099999998,85,99.40828402366864
QQ,0.786781,0.73170633,85,98.81656804733728
JJ,0.755118,0.7022597399999999,85,98.22485207100591
TT,0.725194,0.67443042,85,97.63313609467455
99,0.689687,0.64140891,85,97.0414201183432
AKs,0.671288,0.62429784,85,96.44970414201184
AQs,0.659935,0.61373955,85,95.85798816568047
88,0.65751,0.6114843,85,95.26627218934911
AKo,0.653896,0.60812328,85,94.67455621301775
AJs,0.649191,0.60374763,85,94.0828402366864
AQo,0.643111,0.5980932299999999,85,93.49112426035504
ATs,0.639671,0.59489403,85,92.89940828402366
AJo,0.631085,0.5869090499999999,85,92.3076923076923
77,0.62658,0.5827194,85,91.71597633136095
KQs,0.624864,0.5811235199999999,85,91.12426035502959
ATo,0.620936,0.57747048,85,90.53254437869822
A9s,0.61642,0.5732706,85,89.94082840236686
KJs,0.614415,0.57140595,85,89.3491124260355
A8s,0.605509,0.5631233699999999,85,88.75739644970415
KQo,0.605384,0.56300712,85,88.16568047337277
KTs,0.603414,0.56117502,85,87.57396449704143
66,0.597605,0.55577265,85,86.98224852071006
A9o,0.595651,0.55395543,85,86.3905325443787
A7s,0.594872,0.5532309599999999,85,85.79881656804734
KJo,0.593391,0.55185363,85,85.20710059171599
A8o,0.584735,0.5438035499999999,85,84.61538461538461
QJs,0.582836,0.54203748,85,84.02366863905326
KTo,0.582345,0.54158085,85,83.4319526627219
K9s,0.582069,0.5413241699999999,85,82.84023668639054
A6s,0.581863,0.54113259,85,82.24852071005917
A5s,0.580916,0.5402518799999999,85,81.65680473372781
QTs,0.572276,0.53221668,85,81.06508875739645
A4s,0.571734,0.53171262,85,80.4733727810651
A7o,0.571733,0.53171169,85,79.88165680473372
55,0.568853,0.52903329,85,79.28994082840237
A3s,0.563061,0.52364673,85,78.69822485207101
K8s,0.56132,0.5220276,85,78.10650887573965
QJo,0.560666,0.52141938,85,77.51479289940828
A6o,0.559486,0.52032198,85,76.92307692307693
K9o,0.557667,0.51863031,85,76.33136094674556
A5o,0.557329,0.51831597,85,75.7396449704142
A2s,0.555738,0.5168363399999999,85,75.14792899408283
K7s,0.554095,0.51530835,85,74.55621301775149
Q9s,0.551892,0.5132595600000001,85,73.96449704142012
QTo,0.551327,0.51273411,85,73.37278106508876
JTs,0.547575,0.50924475,85,72.7810650887574
A4o,0.547248,0.5089406399999999,85,72.18934911242604
44,0.542244,0.50428692,85,71.59763313609467
K6s,0.542028,0.5040860399999999,85,71.00591715976331
A3o,0.538568,0.50086824,85,70.41420118343196
K8o,0.537173,0.49957089,85,69.8224852071006
Q8s,0.532452,0.49518036,85,69.23076923076923
K5s,0.532187,0.4949339099999999,85,68.63905325443787
A2o,0.531064,0.49388951999999997,85,68.04733727810651
K7o,0.527671,0.49073403,85,67.45562130177515
Q9o,0.5266,0.48973799999999995,85,66.86390532544378
J9s,0.525017,0.4882658099999999,85,66.27218934911244
K4s,0.524451,0.48773943,85,65.68047337278107
JTo,0.522395,0.48582735,85,65.08875739644971
33,0.517034,0.48084161999999997,85,64.49704142011834
K6o,0.516099,0.4799720699999999,85,63.905325443786985
K3s,0.51568,0.4795824,85,63.31360946745562
Q7s,0.512935,0.47702954999999997,85,62.721893491124256
K2s,0.508205,0.47263065,85,62.1301775147929
J8s,0.507197,0.47169321,85,61.53846153846154
Q8o,0.506268,0.47082924000000004,85,60.946745562130175
K5o,0.506198,0.47076414,85,60.35502958579882
Q6s,0.50554,0.47015219999999996,85,59.76331360946746
T9s,0.503685,0.46842705,85,59.171597633136095
J9o,0.499552,0.46458335999999995,85,58.57988165680473
K4o,0.496225,0.46148925,85,57.98816568047337
Q5s,0.495334,0.46066061999999997,85,57.396449704142015
