Hand,Equity,Rake_Adj_Equity,VPIP,PR
AA,0.743633,0.6915786899999999,55,100.0
KK,0.656759,0.61078587,55,99.40828402366864
QQ,0.586906,0.54582258,55,98.81656804733728
JJ,0.536312,0.49877015999999996,55,98.22485207100591
TT,0.495078,0.46042254,55,97.63313609467455
AKs,0.494663,0.46003658999999997,55,97.0414201183432
AQs,0.469609,0.43673637,55,96.44970414201184
AKo,0.468586,0.43578498,55,95.85798816568047
99,0.458817,0.42669980999999996,55,95.26627218934911
AJs,0.449381,0.41792432999999996,55,94.67455621301775
AQo,0.441832,0.41090375999999995,55,94.0828402366864
ATs,0.432734,0.40244262,55,93.49112426035504
88,0.426417,0.39656780999999997,55,92.89940828402366
AJo,0.419367,0.39001130999999994,55,92.3076923076923
KQs,0.410307,0.38158550999999996,55,91.71597633136095
A9s,0.402693,0.37450449,55,91.12426035502959
ATo,0.40138,0.3732834,55,90.53254437869822
77,0.399059,0.37112487,55,89.94082840236686
KJs,0.394245,0.36664785,55,89.3491124260355
A8s,0.388974,0.36174581999999994,55,88.75739644970415
KTs,0.381401,0.35470292999999997,55,88.16568047337277
KQo,0.379293,0.35274248999999996,55,87.57396449704143
66,0.377407,0.35098851,55,86.98224852071006
A7s,0.374089,0.34790277,55,86.3905325443787
A9o,0.369799,0.34391307,55,85.79881656804734
QJs,0.363647,0.33819171,55,85.20710059171599
A5s,0.362946,0.33753977999999996,55,84.61538461538461
A6s,0.361501,0.33619593,55,84.02366863905326
KJo,0.361428,0.33612804,55,83.4319526627219
55,0.358716,0.33360587999999997,55,82.84023668639054
A4s,0.355512,0.33062615999999995,55,82.24852071005917
A8o,0.354443,0.32963199,55,81.65680473372781
QTs,0.352891,0.32818863,55,81.06508875739645
K9s,0.352766,0.32807238,55,80.4733727810651
A3s,0.346845,0.32256585,55,79.88165680473372
KTo,0.346737,0.32246541,55,79.28994082840237
JTs,0.344261,0.32016272999999995,55,78.69822485207101
A2s,0.340578,0.31673754,55,78.10650887573965
44,0.339368,0.31561224,55,77.51479289940828
A7o,0.339274,0.31552482,55,76.92307692307693
QJo,0.331879,0.30864747,55,76.33136094674556
K8s,0.330837,0.30767840999999996,55,75.7396449704142
Q9s,0.328803,0.30578679,55,75.14792899408283
A5o,0.327228,0.30432204,55,74.55621301775149
A6o,0.324238,0.30154134,55,73.96449704142012
T9s,0.323769,0.30110517,55,73.37278106508876
J9s,0.323258,0.30062994,55,72.7810650887574
33,0.3207,0.298251,55,72.18934911242604
K7s,0.320585,0.29814405,55,71.59763313609467
QTo,0.317976,0.29571768,55,71.00591715976331
K9o,0.317855,0.29560515,55,70.41420118343196
A4o,0.317457,0.29523500999999996,55,69.8224852071006
K6s,0.313036,0.29112348,55,69.23076923076923
A3o,0.311635,0.28982054999999995,55,68.63905325443787
JTo,0.311077,0.28930161,55,68.04733727810651
Q8s,0.307847,0.28629771,55,67.45562130177515
98s,0.307266,0.28575737999999995,55,66.86390532544378
T8s,0.305101,0.28374393,55,66.27218934911244
A2o,0.304593,0.28327148999999996,55,65.68047337278107
J8s,0.304179,0.28288646999999995,55,65.08875739644971
K5s,0.302926,0.28172117999999996,55,64.49704142011834
22,0.302316,0.28115387999999997,55,63.905325443786985
87s,0.301097,0.28002021,55,63.31360946745562
76s,0.29836,0.2774748,55,62.721893491124256
K4s,0.29585,0.2751405,55,62.1301775147929
97s,0.294771,0.27413703,55,61.53846153846154
Q9o,0.294193,0.27359948999999995,55,60.946745562130175
65s,0.294128,0.27353903999999996,55,60.35502958579882
K8o,0.293375,0.27283874999999996,55,59.76331360946746
T7s,0.290614,0.27027102,55,59.171597633136095
86s,0.289755,0.26947214999999997,55,58.57988165680473
Q7s,0.289585,0.26931404999999997,55,57.98816568047337
54s,0.289006,0.26877557999999996,55,57.396449704142015
T9o,0.288659,0.26845286999999995,55,56.80473372781065
J9o,0.287825,0.26767725,55,56.213017751479285
K3s,0.287695,0.26755634999999994,55,55.62130177514793
J7s,0.285606,0.26561358,55,55.02958579881657
Q6s,0.28488,0.2649384,55,54.437869822485204
75s,0.284473,0.26455988999999996,55,53.84615384615385
96s,0.283869,0.26399817,55,53.25443786982249
K7o,0.282869,0.26306817,55,52.662721893491124
K2s,0.281212,0.26152716,55,52.071005917159766
64s,0.280924,0.26125931999999996,55,51.4792899408284
Q5s,0.279056,0.25952208,55,50.887573964497044
T6s,0.278832,0.25931376,55,50.29585798816568
K6o,0.27448,0.2552664,55,49.70414201183432
85s,0.2742,0.25500599999999995,55,49.112426035502956
98o,0.273378,0.25424154,55,48.5207100591716
Q4s,0.272898,0.25379514,55,47.928994082840234
J6s,0.272415,0.25334595,55,47.337278106508876
53s,0.272059,0.25301487,55,46.74556213017752
T8o,0.271059,0.25208486999999996,55,46.15384615384615
74s,0.270702,0.25175285999999997,55,45.562130177514796
Q8o,0.270426,0.25149617999999996,55,44.97041420118343
95s,0.269949,0.25105257,55,44.37869822485207
43s,0.269447,0.25058570999999996,55,43.786982248520715
J5s,0.268432,0.24964176,55,43.19526627218935
J8o,0.268263,0.24948458999999995,55,42.60355029585799
Q3s,0.267096,0.24839927999999997,55,42.01183431952663
J4s,0.265928,0.24731303999999998,55,41.42011834319527
87o,0.264584,0.24606311999999997,55,40.828402366863905
K5o,0.264205,0.24571065,55,40.23668639053255
63s,0.263854,0.24538421999999996,55,39.64497041420118
T5s,0.263252,0.24482435999999996,55,39.053254437869825
76o,0.262693,0.24430448999999999,55,38.46153846153847
T4s,0.26175,0.24342749999999996,55,37.8698224852071
84s,0.261407,0.24310850999999997,55,37.278106508875744
97o,0.260519,0.24228266999999998,55,36.68639053254438
Q2s,0.260293,0.24207248999999997,55,36.09467455621302
J3s,0.259414,0.24125501999999996,55,35.50295857988166
K4o,0.25764,0.23960519999999996,55,34.9112426035503
65o,0.257308,0.23929643999999997,55,34.319526627218934
T3s,0.256216,0.23828087999999997,55,33.72781065088758
52s,0.256168,0.23823624,55,33.13609467455622
86o,0.255762,0.23785865999999997,55,32.544378698224854
94s,0.255255,0.23738715,55,31.952662721893493
T7o,0.254952,0.23710536,55,31.360946745562128
J2s,0.2538,0.23603400000000002,55,30.76923076923077
73s,0.253181,0.23545832999999997,55,30.17751479289941
54o,0.252051,0.23440743,55,29.585798816568047
Q7o,0.251987,0.23434791,55,28.994082840236686
42s,0.251331,0.23373783,55,28.402366863905325
93s,0.251291,0.23370062999999996,55,27.810650887573964
T2s,0.250203,0.23268878999999998,55,27.218934911242602
K3o,0.249615,0.23214194999999999,55,26.627218934911244
J7o,0.249581,0.23211032999999998,55,26.035502958579883
96o,0.248182,0.23080926,55,25.443786982248522
75o,0.247123,0.22982439,55,24.85207100591716
Q6o,0.247037,0.22974440999999998,55,24.2603550295858
62s,0.246403,0.22915479,55,23.668639053254438
32s,0.245368,0.22819224,55,23.076923076923077
92s,0.245258,0.22808994,55,22.485207100591715
64o,0.244442,0.22733105999999997,55,21.893491124260358
83s,0.243873,0.22680188999999998,55,21.301775147928996
K2o,0.24238,0.22541339999999999,55,20.710059171597635
82s,0.241087,0.22421090999999999,55,20.118343195266274
T6o,0.240915,0.22405094999999997,55,19.526627218934912
85o,0.238729,0.22201796999999998,55,18.93491124260355
Q5o,0.238565,0.22186545,55,18.34319526627219
53o,0.235369,0.21889316999999997,55,17.75147928994083
72s,0.235069,0.21861417,55,17.159763313609467
J6o,0.234431,0.21802083,55,16.56804733727811
Q4o,0.234377,0.21797060999999998,55,15.976331360946746
74o,0.233256,0.21692807999999997,55,15.384615384615385
95o,0.231117,0.21493880999999998,55,14.792899408284024
43o,0.230382,0.21425525999999998,55,14.201183431952662
J5o,0.229999,0.21389907,55,13.609467455621301
63o,0.226978,0.21108954,55,13.017751479289942
J4o,0.226237,0.21040040999999998,55,12.42603550295858
Q3o,0.226114,0.21028602,55,11.834319526627219
T5o,0.223811,0.20814422999999999,55,11.242603550295858
T4o,0.223488,0.20784383999999997,55,10.650887573964498
84o,0.223245,0.20761785,55,10.059171597633137
J3o,0.220611,0.20516822999999998,55,9.467455621301776
Q2o,0.219076,0.20374067999999998,55,8.875739644970414
T3o,0.217476,0.20225268,55,8.284023668639055
52o,0.217054,0.20186021999999998,55,7.6923076923076925
94o,0.216661,0.20149472999999998,55,7.100591715976331
J2o,0.215203,0.20013878999999998,55,6.508875739644971
73o,0.214821,0.19978353,55,5.9171597633136095
42o,0.21481,0.1997733,55,5.325443786982249
93o,0.211418,0.19661874,55,4.733727810650888
T2o,0.210894,0.19613141999999997,55,4.142011834319527
62o,0.207836,0.19328747999999998,55,3.5502958579881656
32o,0.206804,0.19232771999999998,55,2.9585798816568047
92o,0.20677,0.1922961,55,2.366863905325444
83o,0.205254,0.19088621999999997,55,1.7751479289940828
82o,0.200991,0.18692162999999998,55,1.183431952662722
72o,0.196373,0.18262689,55,0.591715976331361
